recording,monkey,analysis,embedding_fold,raw_trial_index,nfev,cost,mse,action
monkeyM_session-o080424012-22_lfp-1,M,short,3,8,1200,41.091490756807005,0.14055338674293702,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,3,48,1200,75.3136291777523,0.3015498616467007,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,4,39,1200,67.21504998839916,0.23751320527973055,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,4,83,1200,47.90405682400932,0.1885383331627709,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,4,140,1200,21.60062253275383,0.13725741027685753,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,0,39,1200,66.45489088057482,0.1825676149838845,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,0,36,1200,55.478683836759515,0.20153995422379467,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,0,108,1200,78.44613938090498,0.46489746497992085,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,0,140,1200,21.264504938538686,0.13343804714245894,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,1,83,1200,42.457082503192424,0.1276418269094529,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,1,108,1200,78.78400378963568,0.4419004153020173,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,2,8,1200,41.02236089483354,0.13833803274034384,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,2,48,1200,75.6708637732791,0.3087741562688342,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,3,11,1200,61.277561143091575,0.24700540512125882,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,3,8,1200,41.091490756807005,0.14055338674293702,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,3,48,1200,75.3136291777523,0.3015498616467007,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,4,39,1200,67.21504998839916,0.23751320527973055,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,4,83,1200,47.90405682400932,0.1885383331627709,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_short,4,140,1200,21.60062253275383,0.13725741027685753,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_long,0,187,1200,43.689022639375075,0.15883460504513333,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,matched_long,2,211,1200,58.22224204547758,0.19058120585330338,training_median_imputation
