analysis,monkey,method,direction,mean,std,count
short,M,peak_frequency,2,0.14591278824636467,0.11480497137620213,115
short,M,peak_frequency,3,0.15617742401442614,0.1040483661686712,115
short,M,peak_frequency,4,0.14803651769476,0.11329347398490365,115
short,M,peak_frequency,5,0.14096973932712084,0.10554413113542888,115
short,M,peak_frequency,6,0.15230084934323887,0.11002461386670734,115
short,M,peak_power,1,0.18864262451856223,0.11805588397714274,115
short,M,peak_power,2,0.1787092768118419,0.11935619346184365,115
short,M,peak_power,3,0.17184091650842634,0.12961251427762702,115
short,M,peak_power,4,0.21251804505597893,0.13760157517351956,115
short,M,peak_power,5,0.1504674797408224,0.11704840471025581,115
short,M,peak_power,6,0.16703897968263542,0.1232479760696423,115
short,M,power_frequency,1,0.19609594850651343,0.12920391354703092,115
short,M,power_frequency,2,0.17965799325175966,0.11150262099769975,115
short,M,power_frequency,3,0.19160267573202946,0.11978441849304212,115
short,M,power_frequency,4,0.21429868814509262,0.12192798719660944,115
short,M,power_frequency,5,0.15481204322640618,0.0969940887547546,115
short,M,power_frequency,6,0.1801654572268453,0.11092171676112858,115
short,M,torus,1,0.17265609395550485,0.09839159188981632,115
short,M,torus,2,0.16015036515322367,0.0946986544786323,115
short,M,torus,3,0.17714410984299364,0.09489173138534612,115
short,M,torus,4,0.1740467961892296,0.10623093003561121,115
short,M,torus,5,0.17272100297177928,0.09667660583315843,115
short,M,torus,6,0.17975593889211816,0.1009535596763935,115
short,M,torus_all_bands,1,0.1805190816889161,0.10564827815830963,115
short,M,torus_all_bands,2,0.16840875349011744,0.10173561329172673,115
short,M,torus_all_bands,3,0.19402540854180858,0.09842445364827057,115
short,M,torus_all_bands,4,0.1986547571747582,0.10118949981760585,115
short,M,torus_all_bands,5,0.17685602609458384,0.09753625542916722,115
short,M,torus_all_bands,6,0.19911962952542647,0.10413085149678913,115
short,M,torus_pca,1,0.16346198078581853,0.10990948091140262,115
short,M,torus_pca,2,0.16352885856753582,0.09086365814859801,115
short,M,torus_pca,3,0.16822665879378335,0.091094756691732,115
