analysis,monkey,method,true_direction,predicted_direction,fraction
matched_long,T,torus,6,6,0.1912325317851982
matched_long,T,torus_all_bands,1,1,0.17807698268363617
matched_long,T,torus_all_bands,1,2,0.18507311985208338
matched_long,T,torus_all_bands,1,3,0.1564287561705804
matched_long,T,torus_all_bands,1,4,0.16465534287136013
matched_long,T,torus_all_bands,1,5,0.1523849137027974
matched_long,T,torus_all_bands,1,6,0.16338088471954249
matched_long,T,torus_all_bands,2,1,0.17314856214527524
matched_long,T,torus_all_bands,2,2,0.24866185522705972
matched_long,T,torus_all_bands,2,3,0.1572889046891817
matched_long,T,torus_all_bands,2,4,0.14100366858818233
matched_long,T,torus_all_bands,2,5,0.12482481860907653
matched_long,T,torus_all_bands,2,6,0.1550721907412244
matched_long,T,torus_all_bands,3,1,0.15524230285078747
matched_long,T,torus_all_bands,3,2,0.185910556630914
matched_long,T,torus_all_bands,3,3,0.167772518108662
matched_long,T,torus_all_bands,3,4,0.16723166011711563
matched_long,T,torus_all_bands,3,5,0.16342526496174084
matched_long,T,torus_all_bands,3,6,0.16041769733078
matched_long,T,torus_all_bands,4,1,0.16130677411440866
matched_long,T,torus_all_bands,4,2,0.14487681239942662
matched_long,T,torus_all_bands,4,3,0.1590180160038996
matched_long,T,torus_all_bands,4,4,0.17905586789396935
matched_long,T,torus_all_bands,4,5,0.1779130738869805
matched_long,T,torus_all_bands,4,6,0.17782945570131528
matched_long,T,torus_all_bands,5,1,0.14681373546549745
matched_long,T,torus_all_bands,5,2,0.12506947506924251
matched_long,T,torus_all_bands,5,3,0.1594234717234065
matched_long,T,torus_all_bands,5,4,0.18826787672580814
matched_long,T,torus_all_bands,5,5,0.19416848270202464
matched_long,T,torus_all_bands,5,6,0.18625695831402075
matched_long,T,torus_all_bands,6,1,0.15522122851508918
matched_long,T,torus_all_bands,6,2,0.14544388725402801
matched_long,T,torus_all_bands,6,3,0.15968878882954268
matched_long,T,torus_all_bands,6,4,0.17272741937478303
matched_long,T,torus_all_bands,6,5,0.17194099545580516
matched_long,T,torus_all_bands,6,6,0.19497768057075193
matched_long,T,torus_pca,1,1,0.15947246466166934
matched_long,T,torus_pca,1,2,0.20956304009801613
matched_long,T,torus_pca,1,3,0.16314000049496682
matched_long,T,torus_pca,1,4,0.14893477508874758
matched_long,T,torus_pca,1,5,0.17650016926736767
matched_long,T,torus_pca,1,6,0.14238955038923243
matched_long,T,torus_pca,2,1,0.16489871077078436
matched_long,T,torus_pca,2,2,0.20858357452289128
matched_long,T,torus_pca,2,3,0.17517363115196477
matched_long,T,torus_pca,2,4,0.13898025118680418
matched_long,T,torus_pca,2,5,0.15333704092916117
matched_long,T,torus_pca,2,6,0.15902679143839427
matched_long,T,torus_pca,3,1,0.15996984463858507
matched_long,T,torus_pca,3,2,0.2025985901349126
matched_long,T,torus_pca,3,3,0.17400141702594488
matched_long,T,torus_pca,3,4,0.16435820056664077
matched_long,T,torus_pca,3,5,0.15754781656126993
matched_long,T,torus_pca,3,6,0.14152413107264675
matched_long,T,torus_pca,4,1,0.13907603593335738
matched_long,T,torus_pca,4,2,0.1734486104304735
matched_long,T,torus_pca,4,3,0.1666727399652214
matched_long,T,torus_pca,4,4,0.17653972457601272
matched_long,T,torus_pca,4,5,0.1837288908109075
matched_long,T,torus_pca,4,6,0.1605339982840275
matched_long,T,torus_pca,5,1,0.15979653764333468
matched_long,T,torus_pca,5,2,0.15245802652529492
matched_long,T,torus_pca,5,3,0.15922692326204244
matched_long,T,torus_pca,5,4,0.15232290147448166
matched_long,T,torus_pca,5,5,0.20265359535462255
matched_long,T,torus_pca,5,6,0.1735420157402237
matched_long,T,torus_pca,6,1,0.14865533523728988
