recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,short,torus_pca,0.1653702506643683,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,short,torus_power_frequency,0.13681722235185328,120
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_long,all_bands,0.2006601287228387,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_long,peak_frequency,0.09061348687561588,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_long,peak_power,0.14942830239440408,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_long,power_frequency,0.15320015219230032,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_long,torus,0.18902466481605038,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_long,torus_all_bands,0.19192854551197217,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_long,torus_pca,0.20573338778913694,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_long,torus_power_frequency,0.19776820972023956,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_short,all_bands,0.2028052013346131,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_short,peak_frequency,0.14376533668666439,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_short,peak_power,0.17231829009078928,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_short,power_frequency,0.19481624836392508,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_short,torus,0.17067097841846768,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_short,torus_all_bands,0.18276270014271004,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_short,torus_pca,0.1419471797202444,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,matched_short,torus_power_frequency,0.17757927691732497,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,short,all_bands,0.2028052013346131,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,short,peak_frequency,0.14376533668666439,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,short,peak_power,0.17231829009078928,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,short,power_frequency,0.19481624836392508,132
