recording,monkey,day,outer_fold,family,horizon_ms,coefficient_index,lag_ms,value,kind
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,7,6,-37.65540523903935,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,8,7,15.48286941187535,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,9,8,17.810394490981974,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,10,9,-19.93312444109657,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,11,10,-2.7140768240015647,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,12,11,16.277173968767464,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,13,12,-8.041117405223115,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,14,13,-6.713495065974809,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,15,14,12.39638348158023,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,16,15,-8.905256573701218,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,17,16,3.690725531268693,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,18,17,-0.8764260740551202,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,ar,1,19,18,0.0938430762217006,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,0,-1,-1.6485957146303298e-08,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,1,0,8.136968349656868,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,2,1,-29.8659281076373,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,3,2,64.92339027580392,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,4,3,-92.15129474243946,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,5,4,88.59949797367992,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,6,5,-57.7215261766333,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,7,6,24.578529561388944,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,8,7,-6.208657012715067,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,1,9,8,0.7090185476890526,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,0,-1,-0.0003367067385964,intercept
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,1,0,8914.886500292965,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,2,1,-59526.63233056037,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,3,2,177905.4336762687,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,4,3,-310558.0394102325,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,5,4,346119.1040748714,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,6,5,-252091.1749551576,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,7,6,117143.14267640476,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,8,7,-31747.25761769891,lag_weight
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,4,embedding,10,9,8,3841.511978578,lag_weight
