recording,outer_fold,family,horizon_ms,trial_index,status,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,monkey,day,raw_trial_index,original_trial_number
monkeyT_session-y070316009-12_lfp-8,0,ar,10,147,ok,0.002687501341462,0.002388776840138,0.997611223159862,0.9988319409542582,1.6011645440952862,-0.6011645440952862,0.180732368635114,1.598775767255148,0.9985081003392516,T,2007-03-16,138,581
monkeyT_session-y070316009-12_lfp-8,0,ar,10,148,ok,0.0021662639554447,0.0019768290209924,0.9980231709790076,0.999044597056286,1.2916446009432354,-0.2916446009432354,0.3566169849099533,1.289667771922243,0.9984695255803734,T,2007-03-16,146,367
monkeyT_session-y070316009-12_lfp-8,0,ar,10,154,ok,0.002133788522936,0.0032437602605275,0.9967562397394724,0.9983915765274078,1.6308716226805955,-0.6308716226805955,0.1855419579878582,1.627627862420068,0.9980110266096874,T,2007-03-16,155,194
monkeyT_session-y070316009-12_lfp-8,0,ar,10,167,ok,0.0027262773376433,0.001677056498487,0.998322943501513,0.9991616166520164,1.5520369899599458,-0.5520369899599458,0.217284148050575,1.5503599334614586,0.998919448112812,T,2007-03-16,187,650
monkeyT_session-y070316009-12_lfp-8,0,ar,10,170,ok,0.0017610681291818,0.0019668202733219,0.998033179726678,0.999040828419048,1.8203360538857047,-0.8203360538857047,0.0898779642703662,1.818369233612383,0.9989195290237076,T,2007-03-16,188,642
monkeyT_session-y070316009-12_lfp-8,0,ar,10,178,ok,0.0019149176513872,0.0020149075213159,0.997985092478684,0.9990235945551204,1.2021046508195854,-0.2021046508195854,0.4076370188855374,1.2000897432982696,0.9983238501573536,T,2007-03-16,182,289
monkeyT_session-y070316009-12_lfp-8,0,ar,10,184,ok,0.0028123710638857,0.0031460290094482,0.9968539709905516,0.9984498024544752,1.866904327481667,-0.866904327481667,0.0861551159753599,1.8637582984722187,0.998314841867825,T,2007-03-16,194,113
monkeyT_session-y070316009-12_lfp-8,0,ar,10,185,ok,0.0024389996602198,0.0021537276611526,0.9978462723388474,0.9989236707196986,1.5491929243502534,-0.5491929243502534,0.2256699191898497,1.5470391966891006,0.9986097744010444,T,2007-03-16,200,211
monkeyT_session-y070316009-12_lfp-8,0,ar,10,191,ok,0.0018369960712933,0.0021618831252235,0.9978381168747764,0.9989347723347198,1.4667879067345988,-0.4667879067345988,0.2390313139711223,1.464626023609375,0.9985261106153812,T,2007-03-16,185,550
monkeyT_session-y070316009-12_lfp-8,0,ar,10,192,ok,0.0020133421996987,0.0018256828068877,0.9981743171931122,0.9990910944613738,1.516125335303422,-0.5161253353034221,0.2475467525143326,1.5142996524965344,0.99879582329747,T,2007-03-16,171,100
