lfp_uid,monkey,session_id,lfp_id,freq_hz,band,median_residual_log_psd,prominence,bootstrap_support,included_for_order,exclusion_reason
monkeyM_session-o080515012-24_lfp-2,M,o080515012-24,2,32.0,low_gamma,0.8175812729223708,1.0097163241261495,1.0,True,
monkeyM_session-o080515012-24_lfp-2,M,o080515012-24,2,47.0,low_gamma,-0.17328654889470174,0.15745282289275264,0.7916666666666666,True,
monkeyM_session-o080516002-14_lfp-1,M,o080516002-14,1,5.0,theta,-0.004549106679280418,0.15557092172867978,1.0,True,
monkeyM_session-o080516002-14_lfp-1,M,o080516002-14,1,18.0,beta,0.6187789663020731,0.7913150750869427,1.0,True,
monkeyM_session-o080516002-14_lfp-4,M,o080516002-14,4,18.0,beta,0.5308280920829257,0.7691711648096233,1.0,True,
monkeyM_session-o080516002-14_lfp-4,M,o080516002-14,4,34.0,low_gamma,0.2869839921195243,0.09671886587113904,0.9916666666666667,True,
monkeyM_session-o080516002-14_lfp-4,M,o080516002-14,4,47.0,low_gamma,-0.05911554504686663,0.08433081402936267,0.8666666666666667,True,
monkeyM_session-o080516015-26_lfp-5,M,o080516015-26,5,19.0,beta,0.5310816265225446,0.7139246406070097,1.0,True,
monkeyM_session-o080520001-6_lfp-2,M,o080520001-6,2,5.0,theta,0.065496760103214,0.11669914058297745,0.8916666666666667,True,
monkeyM_session-o080520001-6_lfp-2,M,o080520001-6,2,17.0,beta,0.5053884134554776,0.37709860767628883,1.0,True,
monkeyM_session-o080520001-6_lfp-2,M,o080520001-6,2,31.0,low_gamma,0.5202164487689909,0.7102240261671697,1.0,True,
monkeyM_session-o080520001-6_lfp-4,M,o080520001-6,4,5.0,theta,-0.04682273155539011,0.06090528998115564,0.43333333333333335,False,support below 0.50
monkeyM_session-o080520001-6_lfp-4,M,o080520001-6,4,17.0,beta,0.6990144971839116,0.8922019072334746,1.0,True,
monkeyM_session-o080520001-6_lfp-4,M,o080520001-6,4,31.0,low_gamma,0.4693782701020419,0.24540441488238843,1.0,True,
monkeyM_session-o080520007-14_lfp-2,M,o080520007-14,2,18.0,beta,0.6771552931779141,0.9196356448049252,1.0,True,
monkeyM_session-o080520007-14_lfp-2,M,o080520007-14,2,31.0,low_gamma,0.4560812817651933,0.25220822872709764,1.0,True,
monkeyM_session-o080520007-14_lfp-4,M,o080520007-14,4,18.0,beta,0.6968810861066637,0.9953725189380782,1.0,True,
monkeyM_session-o080520007-14_lfp-4,M,o080520007-14,4,30.0,low_gamma,0.43076351539754865,0.21987147669785495,0.9833333333333333,True,
monkeyM_session-o080520007-14_lfp-4,M,o080520007-14,4,47.0,low_gamma,-0.2001175064130916,0.08172526292425483,0.39166666666666666,False,support below 0.50
monkeyM_session-o080521001-5_lfp-1,M,o080521001-5,1,16.0,beta,0.6328861123791314,0.9706556895648148,1.0,True,
monkeyM_session-o080521001-5_lfp-1,M,o080521001-5,1,30.0,low_gamma,0.5056076123779607,0.36185986641231965,0.9916666666666667,True,
monkeyM_session-o080521001-5_lfp-1,M,o080521001-5,1,53.0,low_gamma,-0.28036568581366106,0.1015259062952184,0.5416666666666666,True,
monkeyM_session-o080521006-9_lfp-1,M,o080521006-9,1,16.0,beta,0.6230356078694768,0.9293269634123874,1.0,True,
monkeyM_session-o080521006-9_lfp-1,M,o080521006-9,1,32.0,low_gamma,0.49473669310297874,0.3616869986348329,0.85,True,
monkeyM_session-o080521006-9_lfp-1,M,o080521006-9,1,47.0,low_gamma,-0.18491510315928283,0.08170778016867031,0.8916666666666667,True,
