lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,peri_go,direction,torus_geometry_15,ok,0.5375,0.5356862745098039,2,80,40,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,peri_go,delay,torus_geometry_15,ok,0.4625,0.46039215686274515,2,80,40,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,peri_go,condition,torus_geometry_15,ok,0.2125,0.19587411825315054,4,80,20,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,torus_geometry_15,ok,0.575,0.575,2,80,40,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,delay,torus_geometry_15,ok,0.5375,0.5374277230817315,2,80,40,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,condition,torus_geometry_15,ok,0.3625,0.35466927359490985,4,80,20,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,post_go,direction,torus_geometry_15,ok,0.5375,0.5374277230817315,2,80,40,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,post_go,delay,torus_geometry_15,ok,0.625,0.6228786926461345,2,80,40,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,post_go,condition,torus_geometry_15,ok,0.425,0.42771147771147777,4,80,20,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,pre_go,direction,torus_geometry_15,ok,0.5,0.4999323867478026,2,86,43,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,pre_go,delay,torus_geometry_15,ok,0.6222222222222222,0.6220355731225297,2,90,45,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,pre_go,condition,torus_geometry_15,ok,0.27380952380952384,0.26576411960132895,4,84,21,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,peri_go,direction,torus_geometry_15,ok,0.43023255813953487,0.4295383782320292,2,86,43,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,peri_go,delay,torus_geometry_15,ok,0.4444444444444444,0.44334487877288475,2,90,45,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,peri_go,condition,torus_geometry_15,ok,0.32142857142857145,0.3221235418875928,4,84,21,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,torus_geometry_15,ok,0.6046511627906976,0.6037940379403794,2,86,43,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,delay,torus_geometry_15,ok,0.3888888888888889,0.38699690402476783,2,90,45,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,condition,torus_geometry_15,ok,0.21428571428571427,0.20660058027079303,4,84,21,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,post_go,direction,torus_geometry_15,ok,0.5697674418604651,0.569709263015551,2,86,43,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
