lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_fit_success_fraction
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2,movement,direction,all_band_power,ok,0.5416666666666666,0.5414676508901433,2,96,48,0.9795918367346939
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2,movement,direction,torus_nonlinear_15,ok,0.5104166666666666,0.510363537710255,2,96,48,0.9795918367346939
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,movement,direction,delta,ok,0.5212765957446809,0.5207884898606547,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,movement,direction,theta,ok,0.574468085106383,0.5742753623188406,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,movement,direction,alpha,ok,0.574468085106383,0.5742753623188406,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,movement,direction,beta,ok,0.5531914893617021,0.5531914893617021,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,movement,direction,low_gamma,ok,0.5106382978723404,0.5070679434564523,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,movement,direction,average_psd,ok,0.40425531914893614,0.4031746031746032,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,movement,direction,all_band_power,ok,0.48936170212765956,0.4891304347826087,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2,movement,direction,torus_nonlinear_15,ok,0.5425531914893617,0.542501414827391,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,movement,direction,delta,ok,0.48936170212765956,0.4856361149110807,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,movement,direction,theta,ok,0.574468085106383,0.5742753623188406,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,movement,direction,alpha,ok,0.5851063829787234,0.5846833578792341,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,movement,direction,beta,ok,0.5319148936170213,0.528499772001824,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,movement,direction,low_gamma,ok,0.4574468085106383,0.4544213041993854,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,movement,direction,average_psd,ok,0.5319148936170213,0.5317028985507246,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,movement,direction,all_band_power,ok,0.6170212765957447,0.6170212765957447,2,94,47,0.9896907216494846
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,4,movement,direction,torus_nonlinear_15,ok,0.5638297872340425,0.5637804187889077,2,94,47,0.9896907216494846
monkeyM_session-o080411007-14_lfp-1,M,o080411007-14,1,movement,direction,delta,ok,0.44047619047619047,0.4397616006811409,2,84,42,0.9883720930232558
monkeyM_session-o080411007-14_lfp-1,M,o080411007-14,1,movement,direction,theta,ok,0.47619047619047616,0.4652777777777778,2,84,42,0.9883720930232558
monkeyM_session-o080411007-14_lfp-1,M,o080411007-14,1,movement,direction,alpha,ok,0.4166666666666667,0.4165839829907867,2,84,42,0.9883720930232558
