lfp_uid,epoch,n_trials,n_samples_per_epoch
monkeyM_session-o081113014-16_lfp-1,movement,92,1000
monkeyM_session-o081113014-16_lfp-2,movement,92,1000
monkeyM_session-o081118001-3_lfp-1,movement,90,1000
monkeyM_session-o081118001-3_lfp-2,movement,90,1000
monkeyM_session-o081118004-5_lfp-1,movement,86,1000
monkeyM_session-o081118008-10_lfp-1,movement,85,1000
monkeyM_session-o081127010-14_lfp-1,movement,228,1000
monkeyM_session-o081202001-7_lfp-2,movement,238,1000
monkeyM_session-o081202001-7_lfp-4,movement,238,1000
monkeyM_session-o081202008-11_lfp-2,movement,167,1000
monkeyM_session-o081202012-14_lfp-2,movement,135,1000
monkeyM_session-o081202012-14_lfp-4,movement,135,1000
