lfp_uid,monkey,session_id,lfp_id,epoch_for_selection,status,n_trials_used,n_samples_per_epoch,torus_tau,torus_tau_ms,tau_method,robust_peak_count,selected_mode_count_K,torus_embedding_dim,embedding_dim_method,included_peak_frequencies_hz,dominant_peak_hz,embedding_adjustment,torus_param_source,torus_param_id
monkeyM_session-o080522001-4_lfp-1,M,o080522001-4,1,movement,ok,97,1000,18,18.0,ami_first_local_minimum,4,4,9,psd_peak_count,"5.0, 17.0, 31.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau18_embed9
monkeyM_session-o080522001-4_lfp-2,M,o080522001-4,2,movement,ok,97,1000,14,14.0,ami_first_local_minimum,4,4,9,psd_peak_count,"6.0, 20.0, 35.0, 47.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080522005-11_lfp-1,M,o080522005-11,1,movement,ok,236,1000,19,19.0,ami_first_local_minimum,2,2,5,psd_peak_count,"17.0, 30.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau19_embed5
monkeyM_session-o080522005-11_lfp-2,M,o080522005-11,2,movement,ok,236,1000,30,30.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 17.0, 30.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau30_embed7
monkeyM_session-o080522012-21_lfp-1,M,o080522012-21,1,movement,ok,282,1000,25,25.0,ami_first_local_minimum,2,2,5,psd_peak_count,"17.0, 31.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau25_embed5
monkeyM_session-o080522012-21_lfp-2,M,o080522012-21,2,movement,ok,282,1000,18,18.0,ami_first_local_minimum,3,3,7,psd_peak_count,"4.0, 17.0, 32.0",4.0,,pertrace_unsupervised_movement_signal,pertrace_tau18_embed7
monkeyM_session-o080523010-18_lfp-4,M,o080523010-18,4,movement,ok,187,1000,12,12.0,ami_first_local_minimum,3,3,7,psd_peak_count,"17.0, 29.0, 47.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau12_embed7
monkeyM_session-o080523010-18_lfp-8,M,o080523010-18,8,movement,ok,187,1000,23,23.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 17.0, 29.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau23_embed7
monkeyM_session-o080527001-5_lfp-1,M,o080527001-5,1,movement,ok,119,1000,24,24.0,ami_first_local_minimum,4,4,9,psd_peak_count,"5.0, 17.0, 31.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau24_embed9
monkeyM_session-o080527001-5_lfp-2,M,o080527001-5,2,movement,ok,119,1000,15,15.0,ami_first_local_minimum,3,3,7,psd_peak_count,"21.0, 40.0, 47.0",21.0,,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080527006-16_lfp-1,M,o080527006-16,1,movement,ok,290,1000,17,17.0,ami_first_local_minimum,2,2,5,psd_peak_count,"17.0, 32.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau17_embed5
monkeyM_session-o080527006-16_lfp-2,M,o080527006-16,2,movement,ok,290,1000,14,14.0,ami_first_local_minimum,2,2,5,psd_peak_count,"18.0, 34.0",18.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed5
monkeyM_session-o080528001-5_lfp-1,M,o080528001-5,1,movement,ok,86,1000,12,12.0,ami_first_local_minimum,4,4,9,psd_peak_count,"4.0, 20.0, 42.0, 47.0",4.0,,pertrace_unsupervised_movement_signal,pertrace_tau12_embed9
monkeyM_session-o080528006-15_lfp-2,M,o080528006-15,2,movement,ok,242,1000,16,16.0,ami_first_local_minimum,2,2,5,psd_peak_count,"17.0, 32.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau16_embed5
monkeyM_session-o080528006-15_lfp-4,M,o080528006-15,4,movement,ok,242,1000,23,23.0,ami_first_local_minimum,2,2,5,psd_peak_count,"16.0, 31.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau23_embed5
monkeyM_session-o080528016-25_lfp-2,M,o080528016-25,2,movement,ok,192,1000,31,31.0,ami_first_local_minimum,2,2,5,psd_peak_count,"18.0, 34.0",18.0,,pertrace_unsupervised_movement_signal,pertrace_tau31_embed5
monkeyM_session-o080528016-25_lfp-4,M,o080528016-25,4,movement,ok,192,1000,26,26.0,ami_first_local_minimum,2,2,5,psd_peak_count,"18.0, 31.0",18.0,,pertrace_unsupervised_movement_signal,pertrace_tau26_embed5
monkeyM_session-o080710002-4_lfp-5,M,o080710002-4,5,movement,ok,96,1000,18,18.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 20.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau18_embed7
monkeyM_session-o080710002-4_lfp-6,M,o080710002-4,6,movement,ok,96,1000,18,18.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 19.0, 34.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau18_embed7
monkeyM_session-o080710006-11_lfp-5,M,o080710006-11,5,movement,ok,239,1000,18,18.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 20.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau18_embed7
monkeyM_session-o080710006-11_lfp-6,M,o080710006-11,6,movement,ok,239,1000,17,17.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 20.0, 35.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080710012-14_lfp-5,M,o080710012-14,5,movement,ok,120,1000,23,23.0,ami_first_local_minimum,3,3,7,psd_peak_count,"4.0, 16.0, 31.0",4.0,,pertrace_unsupervised_movement_signal,pertrace_tau23_embed7
monkeyM_session-o080711002-7_lfp-6,M,o080711002-7,6,movement,ok,234,1000,14,14.0,ami_first_local_minimum,3,3,7,psd_peak_count,"21.0, 34.0, 53.0",21.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080711002-7_lfp-8,M,o080711002-7,8,movement,ok,234,1000,20,20.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 21.0, 35.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau20_embed7
monkeyM_session-o080711008-12_lfp-5,M,o080711008-12,5,movement,ok,198,1000,52,52.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 29.0, 53.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau52_embed7
monkeyM_session-o080718002-4_lfp-5,M,o080718002-4,5,movement,ok,104,1000,70,70.0,ami_first_local_minimum,2,2,5,psd_peak_count,"20.0, 36.0",20.0,,pertrace_unsupervised_movement_signal,pertrace_tau70_embed5
monkeyM_session-o080718002-4_lfp-6,M,o080718002-4,6,movement,ok,104,1000,74,74.0,ami_first_local_minimum,3,3,7,psd_peak_count,"19.0, 36.0, 47.0",19.0,,pertrace_unsupervised_movement_signal,pertrace_tau74_embed7
monkeyM_session-o080718005-9_lfp-5,M,o080718005-9,5,movement,ok,191,1000,65,65.0,ami_first_local_minimum,2,2,5,psd_peak_count,"21.0, 34.0",21.0,,pertrace_unsupervised_movement_signal,pertrace_tau65_embed5
monkeyM_session-o080718005-9_lfp-8,M,o080718005-9,8,movement,ok,191,1000,18,18.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 18.0, 37.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau18_embed7
monkeyM_session-o080722004-9_lfp-5,M,o080722004-9,5,movement,ok,193,1000,12,12.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 21.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau12_embed7
monkeyM_session-o080723001-3_lfp-5,M,o080723001-3,5,movement,ok,99,1000,10,10.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 21.0, 35.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7
monkeyM_session-o080723001-3_lfp-6,M,o080723001-3,6,movement,ok,99,1000,13,13.0,ami_first_local_minimum,3,3,7,psd_peak_count,"6.0, 14.0, 43.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau13_embed7
monkeyM_session-o080723006-11_lfp-5,M,o080723006-11,5,movement,ok,292,1000,10,10.0,ami_first_local_minimum,2,2,5,psd_peak_count,"20.0, 34.0",20.0,,pertrace_unsupervised_movement_signal,pertrace_tau10_embed5
monkeyM_session-o080723006-11_lfp-7,M,o080723006-11,7,movement,ok,292,1000,17,17.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 20.0, 34.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080723012-14_lfp-5,M,o080723012-14,5,movement,ok,97,1000,10,10.0,ami_first_local_minimum,2,2,5,psd_peak_count,"20.0, 33.0",20.0,,pertrace_unsupervised_movement_signal,pertrace_tau10_embed5
