row_index,original_trial_number,direction,h1_interval_count,longest_h1,second_longest_h1,lifetime_gap
185,555,6,168,1.4972960948944092,0.6530030965805054,0.8442929983139038
186,342,6,156,0.4605717658996582,0.4116823375225067,0.04888942837715149
187,211,6,159,0.6185171604156494,0.4692820906639099,0.1492350697517395
188,539,6,158,0.7175175547599792,0.5004399716854095,0.2170775830745697
189,24,6,177,0.3788723647594452,0.321810320019722,0.057062044739723206
190,538,6,146,0.804872989654541,0.7482843399047852,0.05658864974975586
191,642,6,154,0.6851748526096344,0.39055976271629333,0.29461508989334106
192,379,6,127,0.7768204510211945,0.7431955337524414,0.03362491726875305
193,483,6,155,0.9612002074718475,0.5762495547533035,0.384950652718544
194,9,6,151,0.5352422595024109,0.40523314476013184,0.13000911474227905
195,113,6,145,0.9908261597156525,0.7929341495037079,0.19789201021194458
196,187,6,173,0.6209707260131836,0.4409465491771698,0.1800241768360138
197,376,6,148,1.5611885786056519,0.4679408371448517,1.0932477414608002
