recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,1,ar,ok,14,0,1,0.0029865273791337,0.000107742709983,0.0029157235685338,0.0030157352167097,False,15,128172993.8680722,128351339.56080776,ok
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,1,embedding,ok,0,9,1,0.0038719041148296,0.0001204039253666,0.0038719041148296,0.0039923080401962,True,10,24897436.394545328,24914265.193853263,ok
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,2,ar,ok,17,0,1,0.0029549526901611,5.652252590168786e-05,0.0029183860354009,0.0029769972528384,False,18,133973114.91942509,134236880.29572037,ok
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,2,embedding,ok,0,9,1,0.0038772128512602,6.73830467154191e-05,0.0038772128512602,0.0039445958979756,True,10,25074378.086617257,25091225.83874612,ok
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,3,ar,ok,12,0,1,0.0030271119554568,0.000185984624268,0.0028730919785326,0.0030524586528064,False,13,121444693.30841814,121562289.01074056,ok
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,3,embedding,ok,0,9,1,0.0038008118978155,0.0002360517364569,0.0038008118978155,0.0040368636342724,True,10,25237652.56000098,25253709.644520853,ok
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,4,ar,ok,14,0,1,0.0029805501934689,0.0001104403962223,0.0029095081586718,0.0030141406108776,False,15,128314467.54817171,128479424.4565976,ok
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,4,embedding,ok,0,9,1,0.0038637263651952,0.0001195033565047,0.0038637263651952,0.0039832297217,True,10,25305374.662567195,25319345.37030205,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,0,ar,ok,14,0,1,0.0027656903220365,6.679074350095139e-05,0.0027213800228291,0.0027878035286023,False,15,126936484.72159378,127005137.35844882,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,0,embedding,ok,0,9,1,0.0034585856035675,8.888062439604651e-05,0.0034585856035675,0.0035474662279635,True,10,27640795.22594639,27644847.31786365,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,1,ar,ok,19,0,1,0.0027837682226601,1.634158849045283e-05,0.0027837682226601,0.0028001098111506,False,20,137348952.30159092,137837754.180362,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,1,embedding,ok,0,9,1,0.0035371725399458,2.262929414042719e-05,0.0035371725399458,0.0035598018340863,True,10,27225384.618898835,27228667.286407538,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,2,ar,ok,14,0,1,0.0026821913827133,6.594013309308902e-05,0.002638616876564,0.0027011523506227,False,15,128671384.1512796,128787120.49299055,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,2,embedding,ok,0,9,1,0.0033524856928814,0.0001030767316597,0.0033524856928814,0.0034555624245412,True,10,27709987.816410877,27714473.22751612,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,3,ar,ok,17,0,1,0.0027669682572543,5.134425778790499e-05,0.0027473260078374,0.0027928166191033,False,18,135405215.13491434,135504396.36855403,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,3,embedding,ok,0,9,1,0.0034856796253874,6.789405342497362e-05,0.0034856796253874,0.0035535736788124,True,10,27485219.450780462,27485858.061687622,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,4,ar,ok,14,0,1,0.0027753020589331,6.993148361178829e-05,0.0027287570884388,0.0027946939110193,False,15,126922413.80279934,127001679.07497443,ok
monkeyT_session-y070416009-13_lfp-5,T,2007-04-16,4,embedding,ok,0,9,1,0.0034527404811616,6.716866641607848e-05,0.0034527404811616,0.0035199091475777,True,10,27495330.88624991,27500975.85672039,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,0,ar,ok,14,0,1,0.0029401039438135,0.000157246188898,0.0028818932787974,0.0030412920423533,False,15,127487838.02969313,127531914.9940194,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,0,embedding,ok,0,9,1,0.0038018528605981,0.0002119867531068,0.0038018528605981,0.004013839613705,True,10,25703173.70202676,25706081.269335523,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,1,ar,ok,14,0,1,0.0029537777103162,8.933328649147066e-05,0.0029006922398906,0.0029883848399052,False,15,128445095.584567,128501796.6226995,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,1,embedding,ok,0,9,1,0.0038106406956381,0.0001280961653517,0.0038106406956381,0.0039387368609899,True,10,25805469.608693704,25806906.726113614,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,2,ar,ok,14,0,1,0.002904590933955,7.084990044510091e-05,0.002852055481668,0.0029181698212722,False,15,127851589.18864311,127900524.83737704,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,2,embedding,ok,0,9,1,0.0037573204081926,0.0001017686550721,0.0037573204081926,0.0038590890632647,True,10,26081322.49687047,26081238.80252372,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,3,ar,ok,12,0,1,0.0031623160426356,0.0002089901319354,0.0029911007579329,0.0031915981619028,False,13,121906557.35342003,121921303.42632324,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,3,embedding,ok,0,9,1,0.0039386949858378,0.0002734881038679,0.0039386949858378,0.0042121830897058,True,10,25525429.13223333,25525093.69838485,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,4,ar,ok,14,0,1,0.0029398484053896,0.0001078793015401,0.0028875556372816,0.0029932074858671,False,15,127368782.36924492,127442086.2582719,ok
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,4,embedding,ok,0,9,1,0.003797784309653,0.0001571741320137,0.003797784309653,0.0039549584416667,True,10,25717134.40439881,25720186.262582704,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,0,ar,ok,17,0,1,0.0019801921471063,2.850537041601177e-05,0.0019593081522908,0.001982697770311,False,18,112783869.09010953,112965535.62267798,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,0,embedding,ok,0,9,1,0.0026430004425253,3.824088805734185e-05,0.0026430004425253,0.0026812413305827,True,10,32386764.1331168,32433122.12045342,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,1,ar,ok,16,0,1,0.0020248237977118,3.0293974163619027e-05,0.0019959235992276,0.0020253644777681,False,17,111317255.9328543,111548368.62472671,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,1,embedding,ok,0,9,1,0.0026931571102735,4.3662725939489487e-05,0.0026931571102735,0.002736819836213,True,10,31551039.456455667,31609261.30799987,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,2,ar,ok,19,0,1,0.0020174721652835,2.4171062960886165e-05,0.0020119230643511,0.002027801353265,False,20,112705889.35300376,113023061.328512,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,2,embedding,ok,0,9,1,0.002701741668342,4.211411453652736e-05,0.002701741668342,0.0027438557828786,True,10,31774481.17380812,31840224.354495145,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,3,ar,ok,19,0,1,0.0019897707309896,2.2431419558924863e-05,0.0019826616188379,0.0020020146913349,False,20,114227801.64621513,114493209.0722097,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,3,embedding,ok,0,9,1,0.0026804342417381,3.229289927250095e-05,0.0026804342417381,0.0027127271410106,True,10,32058038.157038905,32118959.87546506,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,4,ar,ok,19,0,1,0.0019869268594502,1.0178942881611815e-05,0.0019754880997254,0.0019874835954134,False,20,112675356.36680949,113053237.60958467,ok
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,4,embedding,ok,0,9,1,0.0026770351305655,1.3636420690112984e-05,0.0026770351305655,0.0026906715512556,True,10,31654981.511234257,31737486.832632337,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,0,ar,ok,19,0,1,0.0029757991432157,6.436563332142063e-05,0.002967891251966,0.0030295994120244,False,20,123096266.37754214,123628592.1788808,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,0,embedding,ok,0,9,1,0.0040022592863639,8.584854758192979e-05,0.0040022592863639,0.0040881078339458,True,10,25497128.939857103,25560915.138149776,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,1,ar,ok,16,0,1,0.0030149774133035,9.485057621922656e-05,0.0029503927302627,0.0030401220457011,False,17,121008650.89277796,121502626.10266688,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,1,embedding,ok,0,9,1,0.0039839959579174,0.0001317982506484,0.0039839959579174,0.0041157942085659,True,10,25642536.1005966,25715914.33041628,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,2,ar,ok,19,0,1,0.0029436680124733,5.328986604144191e-05,0.0029368484603652,0.0029881868407627,False,20,124153380.0466479,124530422.20033248,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,2,embedding,ok,0,9,1,0.0039758677363911,6.908550215684977e-05,0.0039758677363911,0.0040449532385479,True,10,25482211.405907195,25535798.317964565,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,3,ar,ok,19,0,1,0.0029265503889516,5.0237829366077904e-05,0.0029217304959697,0.0029758969359079,False,20,124024892.76846208,124400545.9553646,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,3,embedding,ok,0,9,1,0.0039370016674074,8.204129750761152e-05,0.0039370016674074,0.004019042964915,True,10,25838987.252351604,25892578.103642512,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,4,ar,ok,19,0,1,0.0029657853206384,4.780231094513779e-05,0.0029633340792033,0.0030075610891726,False,20,125023090.79097456,125558346.34326944,ok
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,4,embedding,ok,0,9,1,0.0039941256566438,6.73150167969364e-05,0.0039941256566438,0.0040614406734407,True,10,25649065.62120947,25724035.516422197,ok
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,0,ar,ok,17,0,1,0.0031311704673332,6.226324424077872e-05,0.00307034764617,0.0031351436879886,False,18,118516084.1090276,118887483.8309916,ok
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,0,embedding,ok,0,9,1,0.0041144910895699,9.99208292775182e-05,0.0041144910895699,0.0042144119188474,True,10,24642009.509943902,24662155.54409563,ok
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,1,ar,ok,19,0,1,0.0031357092298619,6.372249502669299e-05,0.003131280453137,0.0031946468376449,False,20,118203255.58947816,118621436.1028964,ok
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,1,embedding,ok,0,9,1,0.0041853291396654,9.471167052556568e-05,0.0041853291396654,0.004280040810191,True,10,24430884.12262183,24437938.39503018,ok
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,2,ar,ok,19,0,1,0.0031535703483396,5.076050191465e-05,0.0031486474935975,0.0032014819064314,False,20,119299065.66016154,119561462.90113938,ok
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,2,embedding,ok,0,9,1,0.0042133427401019,4.044629576863937e-05,0.0042133427401019,0.0042537890358705,True,10,24231847.60999121,24249754.916031223,ok
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,3,ar,ok,16,0,1,0.0032401419248134,0.0001095607504372,0.0031548929533997,0.0032597530543082,False,17,118631274.24845244,118798400.91184764,ok
