recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080513001-9_lfp-2,M,0,ok,1,3,14.0,3.682720198861946,10,81,[32.0],8.1,[],True
monkeyM_session-o080513001-9_lfp-2,M,1,ok,1,3,16.0,16.228302994188688,10,81,[32.0],8.1,[],True
monkeyM_session-o080513001-9_lfp-2,M,2,ok,1,3,14.0,3.682720198861946,10,82,[32.0],8.2,[],True
monkeyM_session-o080513001-9_lfp-2,M,3,ok,1,3,15.0,9.72060660495912,10,82,[32.0],8.2,[],True
monkeyM_session-o080513001-9_lfp-2,M,4,ok,1,3,14.0,3.682720198861946,10,82,[32.0],8.2,[],True
monkeyM_session-o080513010-18_lfp-1,M,0,ok,2,5,13.0,1.4955623949699417,36,86,"[18.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080513010-18_lfp-1,M,1,ok,2,5,14.0,2.637114604687146,36,86,"[18.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080513010-18_lfp-1,M,2,ok,2,5,14.0,2.637114604687146,36,86,"[18.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080513010-18_lfp-1,M,3,ok,2,5,13.0,1.4955623949699417,36,87,"[18.0, 32.0]",2.4166666666666665,[],True
monkeyM_session-o080513010-18_lfp-1,M,4,ok,2,5,14.0,2.637114604687146,36,87,"[18.0, 32.0]",2.4166666666666665,[],True
monkeyM_session-o080513010-18_lfp-2,M,0,ok,1,3,17.0,4.374183643344547,10,86,[32.0],8.6,[],True
monkeyM_session-o080513010-18_lfp-2,M,1,ok,1,3,17.0,2.40210494137429,10,86,[34.0],8.6,[],True
monkeyM_session-o080513010-18_lfp-2,M,2,ok,1,3,18.0,2.470184970755016,10,86,[32.0],8.6,[],True
monkeyM_session-o080513010-18_lfp-2,M,3,ok,1,3,18.0,1.6070707266924824,10,87,[34.0],8.7,[],True
monkeyM_session-o080513010-18_lfp-2,M,4,ok,1,3,17.0,2.40210494137429,10,87,[34.0],8.7,[],True
monkeyM_session-o080515002-11_lfp-1,M,0,ok,1,3,9.0,1.303139596506898,10,96,[32.0],9.6,[],True
monkeyM_session-o080515002-11_lfp-1,M,1,ok,1,3,9.0,1.303139596506898,10,96,[32.0],9.6,[],True
monkeyM_session-o080515002-11_lfp-1,M,2,ok,1,3,9.0,1.303139596506898,10,96,[32.0],9.6,[],True
monkeyM_session-o080515002-11_lfp-1,M,3,ok,1,3,9.0,1.303139596506898,10,96,[32.0],9.6,[],True
monkeyM_session-o080515002-11_lfp-1,M,4,ok,1,3,9.0,1.303139596506898,10,96,[32.0],9.6,[],True
monkeyM_session-o080515002-11_lfp-2,M,0,ok,1,3,14.0,3.682720198861946,10,96,[32.0],9.6,[],True
monkeyM_session-o080515002-11_lfp-2,M,1,ok,1,3,14.0,3.682720198861946,10,96,[32.0],9.6,[],True
monkeyM_session-o080515002-11_lfp-2,M,2,ok,1,3,13.0,2.2167497145517805,10,96,[32.0],9.6,[],True
monkeyM_session-o080515002-11_lfp-2,M,3,ok,1,3,14.0,3.682720198861946,10,96,[32.0],9.6,[],True
monkeyM_session-o080515002-11_lfp-2,M,4,ok,1,3,14.0,3.682720198861946,10,96,[32.0],9.6,[],True
monkeyM_session-o080515012-24_lfp-1,M,0,ok,1,3,10.0,1.096226269857894,10,100,[32.0],10.0,[],True
monkeyM_session-o080515012-24_lfp-1,M,1,ok,1,3,10.0,1.096226269857894,10,101,[32.0],10.1,[],True
monkeyM_session-o080515012-24_lfp-1,M,2,ok,1,3,10.0,1.096226269857894,10,101,[32.0],10.1,[],True
monkeyM_session-o080515012-24_lfp-1,M,3,ok,1,3,10.0,1.050767566697384,10,101,[34.0],10.1,[],True
monkeyM_session-o080515012-24_lfp-1,M,4,ok,1,3,10.0,1.096226269857894,10,101,[32.0],10.1,[],True
monkeyM_session-o080515012-24_lfp-2,M,0,ok,1,3,10.0,1.096226269857894,10,100,[32.0],10.0,[],True
monkeyM_session-o080515012-24_lfp-2,M,1,ok,1,3,15.0,9.72060660495912,10,101,[32.0],10.1,[],True
monkeyM_session-o080515012-24_lfp-2,M,2,ok,1,3,11.0,1.1552468801208078,10,101,[32.0],10.1,[],True
monkeyM_session-o080515012-24_lfp-2,M,3,ok,1,3,11.0,1.1552468801208078,10,101,[32.0],10.1,[],True
monkeyM_session-o080515012-24_lfp-2,M,4,ok,1,3,11.0,1.1552468801208078,10,101,[32.0],10.1,[],True
monkeyM_session-o080522005-11_lfp-1,M,0,ok,1,3,16.0,1.1552468801208078,10,86,[22.0],8.6,[],True
monkeyM_session-o080522005-11_lfp-1,M,1,ok,1,3,15.0,1.2324478204886462,10,86,[20.0],8.6,[],True
monkeyM_session-o080522005-11_lfp-1,M,2,ok,1,3,15.0,1.0241767030985724,10,86,[22.0],8.6,[],True
monkeyM_session-o080522005-11_lfp-1,M,3,ok,1,3,15.0,1.2324478204886462,10,87,[20.0],8.7,[],True
monkeyM_session-o080522005-11_lfp-1,M,4,ok,1,3,15.0,1.0241767030985724,10,87,[22.0],8.7,[],True
