time_ms,observed_lag_0,fitted_lag_0,observed_lag_1,fitted_lag_1,observed_lag_2,fitted_lag_2,observed_lag_3,fitted_lag_3,observed_lag_4,fitted_lag_4
-195.0,-2.6137475967407227,-0.015643686526360584,-0.670892059803009,-0.859022611198434,0.39257046580314636,0.4536528571708678,0.8345495462417603,0.0674800279997252,1.0514707565307617,0.4755670932960931
-194.0,-2.6039278507232666,-0.01718616126192888,-0.672016978263855,-0.7610409953739404,0.38127392530441284,0.4869780303997062,0.886914074420929,0.18354799469278107,1.071344017982483,0.4443583244309723
-193.0,-2.5657196044921875,-0.033344287411998755,-0.6753612160682678,-0.6409638096393381,0.3745948374271393,0.5015599130888132,0.9276848435401917,0.30471450024646024,1.0856415033340454,0.39889256430296083
-192.0,-2.501518487930298,-0.06296473570360005,-0.6783369183540344,-0.5020540614694183,0.3751949071884155,0.49897186010344136,0.9580196738243103,0.4268470787340076,1.0888603925704956,0.34073595905879267
-191.0,-2.414639949798584,-0.10411057766188311,-0.6771711707115173,-0.3482558760004123,0.384269654750824,0.481502991924462,0.9785977602005005,0.5455527658176191,1.075230360031128,0.27190372814996105
-190.0,-2.3086650371551514,-0.15415656286203952,-0.6674187183380127,-0.184055073030801,0.40118104219436646,0.4520230768611323,0.9895415306091309,0.6563560200694629,1.0395493507385254,0.19478002430228014
-189.0,-2.1868765354156494,-0.20991756061856984,-0.6446027755737305,-0.0143176853735089,0.42339038848876953,0.4138230194806482,0.9905015230178833,0.7548839634998266,0.9779555797576904,0.11202314189825824
-188.0,-2.051877737045288,-0.26780430722290843,-0.6049221158027649,0.15588703865433243,0.44672664999961853,0.3704385026433967,0.9808698296546936,0.8370509703171066,0.8885351419448853,0.02646008746120275
-187.0,-1.9054218530654907,-0.32399935552671627,-0.5459412932395935,0.32147194187192546,0.4659639596939087,0.32546504563573964,0.9600709676742554,0.8992346006221221,0.7716914415359497,-0.059025028209430994
-186.0,-1.748447299003601,-0.3746451960314017,-0.46717458963394165,0.4775180114378258,0.47562646865844727,0.2823730842950378,0.9278730154037476,0.9384351938980414,0.6302415728569031,-0.14160406434651518
-185.0,-1.5812617540359497,-0.41603594913600317,-0.37048277258872986,0.6194535838331923,0.47089847922325134,0.24433163614681516,0.8846617341041565,0.9524120927785582,0.46923112869262695,-0.21861463101456335
-184.0,-1.403804898262024,-0.4448038424257872,-0.26022961735725403,0.7432193996589306,0.44850054383277893,0.2140486869698107,0.8316223621368408,0.9397904327972203,0.2954915165901184,-0.287661974561959
