recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyT_session-y070306006-11_lfp-7,T,1,ok,2,5,17.0,1.644560116338972,36,81,"[6.0, 24.0]",2.25,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070306006-11_lfp-7,T,2,ok,1,3,17.0,2.006075320936564,10,82,[24.0],8.2,[],True
monkeyT_session-y070306006-11_lfp-7,T,3,ok,3,7,17.0,1.7224891019866022,92,82,"[6.0, 24.0, 46.0]",0.8913043478260869,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 24.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyT_session-y070306006-11_lfp-7,T,4,ok,2,5,17.0,1.644560116338972,36,82,"[6.0, 24.0]",2.2777777777777777,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070307002-6_lfp-5,T,0,ok,1,3,13.0,1.1525420501870804,10,100,[24.0],10.0,[],True
monkeyT_session-y070307002-6_lfp-5,T,1,ok,1,3,13.0,1.1525420501870804,10,101,[24.0],10.1,[],True
monkeyT_session-y070307002-6_lfp-5,T,2,ok,1,3,14.0,1.0197252168726616,10,101,[24.0],10.1,[],True
monkeyT_session-y070307002-6_lfp-5,T,3,ok,1,3,13.0,1.1525420501870804,10,101,[24.0],10.1,[],True
monkeyT_session-y070307002-6_lfp-5,T,4,ok,1,3,14.0,1.0197252168726616,10,101,[24.0],10.1,[],True
monkeyT_session-y070307008-13_lfp-5,T,0,ok,1,3,13.0,1.1525420501870804,10,105,[24.0],10.5,[],True
monkeyT_session-y070307008-13_lfp-5,T,1,ok,1,3,12.0,1.303139596506898,10,105,[24.0],10.5,[],True
monkeyT_session-y070307008-13_lfp-5,T,2,ok,1,3,13.0,1.1525420501870804,10,106,[24.0],10.6,[],True
monkeyT_session-y070307008-13_lfp-5,T,3,ok,1,3,13.0,1.1525420501870804,10,106,[24.0],10.6,[],True
monkeyT_session-y070307008-13_lfp-5,T,4,ok,2,5,13.0,1.3961411532519297,36,106,"[6.0, 24.0]",2.9444444444444446,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070308002-6_lfp-6,T,0,ok,2,5,20.0,6.443667237701608,36,100,"[6.0, 24.0]",2.7777777777777777,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070308002-6_lfp-6,T,1,ok,2,5,18.0,1.920633639975956,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070308002-6_lfp-6,T,2,ok,2,5,18.0,1.920633639975956,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070308002-6_lfp-6,T,3,ok,2,5,20.0,6.443667237701608,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070308002-6_lfp-6,T,4,ok,2,5,21.0,32.05287173208929,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070312001-5_lfp-8,T,0,ok,1,3,14.0,1.0197252168726616,10,100,[24.0],10.0,[],True
monkeyT_session-y070312001-5_lfp-8,T,1,ok,2,5,14.0,1.412720184980373,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070312001-5_lfp-8,T,2,ok,1,3,14.0,1.0197252168726616,10,101,[24.0],10.1,[],True
monkeyT_session-y070312001-5_lfp-8,T,3,ok,2,5,14.0,1.412720184980373,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070312001-5_lfp-8,T,4,ok,1,3,14.0,1.0197252168726616,10,101,[24.0],10.1,[],True
monkeyT_session-y070314001-8_lfp-5,T,0,ok,2,5,13.0,1.3961411532519297,36,81,"[6.0, 24.0]",2.25,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
