row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,R1,R2,mse,mean_error,frac_inside,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,target_event_code,target_position,reach_side
63,42,34,2,2,short,4.29577240666284,1.5637612694914875,0.0085326326532458,0.0092550384113959,0.8967611336032388,-0.4286159659319251,0.7945331986608662,-0.4301224825255886,0.5619447273294768,0.6072199662371609,0.5616956791978566,0.7074648239840925,-0.0009533250619414,-0.7067479140375892,102,right,Rightward
64,34,479,2,0,short,4.240828762551521,1.479258123578659,0.0048347032792505,0.0071764271739375,0.902834008097166,-0.4324411340018368,0.7919195289393884,-0.4311126596466665,0.5600000881898254,0.6106250419933412,0.559943710847812,0.7066785456277792,0.000719565874341,-0.7075343916548222,102,right,Rightward
65,40,117,2,1,short,3.829074079443158,1.5921526777357813,0.0086926305864487,0.0097716779261351,0.9089068825910932,-0.4375793171072676,0.7824703928592422,-0.4430174099723855,0.5544120290025695,0.6226749974222202,0.5521803597399062,0.7079206476273959,-0.0039914764112198,-0.7062806982913149,102,right,Rightward
66,87,663,3,4,short,6.47569419934022,1.735489363922348,0.0116746160341785,0.0087142932476069,0.9331983805668016,-0.4337905222165422,0.8027905264678837,-0.4090881976402126,0.5658321206113028,0.5960556698195594,0.5696943476641421,0.7011845649467875,0.0156527661892232,-0.7128079662791444,103,lower right,Rightward
67,77,14,3,4,short,3.7117412040180255,1.2379847786117524,0.0074201580020921,0.0097451223258413,0.8967611336032388,-0.4305304707490635,0.7921605532764047,-0.4325796707999698,0.5622340641165835,0.6103056078392395,0.5580501072367301,0.7060710806310788,-0.002953450997886,-0.7081348079452554,103,lower right,Rightward
68,76,540,3,0,short,4.038996615458417,1.1424432523265309,0.0055531275307763,0.0065543224381468,0.9129554655870444,-0.4287058752007812,0.7964098761998244,-0.4265472795127318,0.5658012108841691,0.6047563033946085,0.5604808678862252,0.7043296545867852,-0.0010595262471942,-0.7098722526439467,103,lower right,Rightward
70,68,420,3,2,short,3.351100002620685,1.1505067842288408,0.0058807162543999,0.0114128422023378,0.8805668016194332,-0.4344919644521066,0.7876437052863479,-0.436845655065198,0.5581096760511642,0.616126612368388,0.5557891569916767,0.7069160645540697,-0.0023218643903023,-0.7072936353602648,103,lower right,Rightward
71,83,503,3,3,short,4.064116532888532,1.39942298092939,0.0067856193664021,0.0101844380243142,0.8906882591093117,-0.4332994705528044,0.7909507279436739,-0.4320283726609072,0.5574599929018645,0.6118755570540213,0.5611119843611293,0.7081595336733895,0.0022909921875573,-0.7060487421009147,103,lower right,Rightward
72,84,636,3,2,short,4.477049340562913,1.3780837621610194,0.0060867857064802,0.0091355505012764,0.888663967611336,-0.4263215301835683,0.7969322288355563,-0.4279590816247898,0.5635968219898586,0.6040679100494344,0.5634364048332696,0.7075369779346324,-0.0009913080757821,-0.7066756272600793,103,lower right,Rightward
73,72,307,3,3,short,3.887727743599786,1.4631702471025778,0.0093256005267388,0.0115149207103728,0.8866396761133604,-0.4333363702403967,0.790630750476057,-0.4325767060632656,0.5582830514586511,0.6122922596884744,0.5598376757414588,0.707488250560315,0.0010977828786919,-0.7067242532925104,103,lower right,Rightward
