recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,n_trials,status,short_delay_ms
monkeyM_session-o081003003-14_lfp-2,M,o081003003-14,2008-10-03,2,238,238,5000,4500,4500,5000,539,f9b4b2199a16abd625fea1c2ef48bbbdd372a6fcfc54c82567ebe20e4760c2f2,108,ok,1000
monkeyM_session-o081003015-26_lfp-1,M,o081003015-26,2008-10-03,1,236,236,5000,4500,4500,5000,554,8a615d629f3c2868b32906d7621ecb9fd39f327afc075372e139dc4f0777824c,114,ok,1000
monkeyM_session-o081003015-26_lfp-2,M,o081003015-26,2008-10-03,2,236,236,5000,4500,4500,5000,552,620521ca8a9a3fe9ceea7fedf4b0779c62b55e402f53c5f9ba1cd8accb92cff3,114,ok,1000
monkeyM_session-o081008001-15_lfp-1,M,o081008001-15,2008-10-08,1,224,224,5000,4500,4500,5000,567,4cdafd03c333eae9b84d3da3128517aa2b5605411073a8774e3d615504436130,102,ok,1000
monkeyM_session-o081008001-15_lfp-2,M,o081008001-15,2008-10-08,2,224,224,5000,4500,4500,5000,565,fd08c434b2fb3736d6051512cc2d6a110f5cbfc5fc33678fbc2eccb2af58c3c5,102,ok,1000
monkeyM_session-o081028001-12_lfp-4,M,o081028001-12,2008-10-28,4,203,203,5000,4500,4500,5000,577,9e472f49b62be2d8325448537c7354e0b52fec2c59092baa24a84ab460888cbb,90,ok,1000
monkeyM_session-o081031013-23_lfp-1,M,o081031013-23,2008-10-31,1,393,393,5000,4500,4500,5000,607,4bff112312f5739bf1236ba7035ff9ca6c9278250ab2e55f782eb21252ebcbbd,186,ok,1000
monkeyM_session-o081031013-23_lfp-3,M,o081031013-23,2008-10-31,3,393,393,5000,4500,4500,5000,606,0af2c93b75aff1a9258149b8600d7e45466432ddd8096abdba1e6fced77b1391,186,ok,1000
monkeyM_session-o081107007-13_lfp-1,M,o081107007-13,2008-11-07,1,249,249,5000,4500,4500,5000,616,a15e1e9fdbf6948d10575a847e110ea418e938cd4b161044660dfd059939583e,108,ok,1000
monkeyM_session-o081107007-13_lfp-2,M,o081107007-13,2008-11-07,2,249,249,5000,4500,4500,5000,615,87e34630350a94288f9dff14c548ed2a2d6f8e5aa6d5635f30c15fd2872e549b,108,ok,1000
monkeyM_session-o081113002-9_lfp-1,M,o081113002-9,2008-11-13,1,248,248,5000,4500,4500,5000,621,c59fe6e2f185e4928e425db9e5e1d56139efbc2212b104a2ecea3e1e72f7e0e4,120,ok,1000
monkeyM_session-o081113002-9_lfp-2,M,o081113002-9,2008-11-13,2,248,248,5000,4500,4500,5000,618,4bb9a9a1d25e96bbf674bccc7ad306163e847fc2d6182379af0a520bd6f7b0ae,120,ok,1000
monkeyM_session-o081127010-14_lfp-1,M,o081127010-14,2008-11-27,1,228,228,5000,4500,4500,5000,643,065eb7aa034e1974739aa7a24f4802cdaba43dd7d2bd599edf1da65b3b8a03ba,102,ok,1000
monkeyM_session-o081202001-7_lfp-2,M,o081202001-7,2008-12-02,2,238,238,5000,4500,4500,5000,648,be95d5998de5cb8f1cdce3b1ce374f81c5925b1e6a7919964d3278265ac67f51,120,ok,1000
monkeyM_session-o081202001-7_lfp-4,M,o081202001-7,2008-12-02,4,238,238,5000,4500,4500,5000,647,5466bd0e02df6849e685beaa90de32770aa24144e2bd9dc49c3e1b1642fd1182,120,ok,1000
monkeyT_session-y070130005-13_lfp-1,T,y070130005-13,2007-01-30,1,253,253,4500,4500,4000,4500,1,958a573e89d47da5a78d6f07ace619bf0968be95d4ef33fd5ed16870859e4bbc,126,ok,700
monkeyT_session-y070130005-13_lfp-2,T,y070130005-13,2007-01-30,2,253,253,4500,4500,4000,4500,0,62cd424772279ddbd5b5735b56ab972b1f1b45ad41a78de7bb6128f90419b33d,126,ok,700
monkeyT_session-y070201001-6_lfp-1,T,y070201001-6,2007-02-01,1,187,187,4500,4500,4000,4500,4,55745fd1762ef74bae59352908cc7a6ce7b453590267323f4034016a34d89a2e,90,ok,700
monkeyT_session-y070202001-7_lfp-1,T,y070202001-7,2007-02-02,1,258,258,4500,4500,4000,4500,9,13962b6efba3604aa4c21c997acfeec10a49d61fd9358601ee740dce4a60d961,126,ok,700
monkeyT_session-y070206006-12_lfp-1,T,y070206006-12,2007-02-06,1,316,316,4500,4500,4000,4500,14,85bcd1e455c31b436570dda35c35b4093619996516efecbfbb94f02396cf95e5,156,ok,700
monkeyT_session-y070207004-11_lfp-1,T,y070207004-11,2007-02-07,1,329,329,4500,4500,4000,4500,18,d005e93695debd4b8bc373c8edb40164675c32dbe7d21cf0d84ec0e8f5feec7c,156,ok,700
monkeyT_session-y070207004-11_lfp-2,T,y070207004-11,2007-02-07,2,329,329,4500,4500,4000,4500,17,5e6462fe097cb545a50b8ad2cca744d5b24b658d617aba99f77fa526ebc2092e,156,ok,700
monkeyT_session-y070207012-19_lfp-1,T,y070207012-19,2007-02-07,1,264,264,4500,4500,4000,4500,22,337784aa0e63e86306de11ffa4f77f54064350708fc75e93ea071fe5f17f9e83,132,ok,700
