recording,monkey,day,family,horizon_ms,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,n_trials
monkeyT_session-y070420006-10_lfp-5,T,2007-04-20,embedding,1,3.9444600476288905e-11,6.241638983505156e-11,0.9999999999375837,0.9999999999689282,0.04074240720590339,0.9592575927940964,0.979650317420482,0.040742407143487015,0.9999999984339604,126
monkeyT_session-y070420006-10_lfp-5,T,2007-04-20,embedding,10,0.0030056223796384846,0.0047709993522345815,0.9952290006477652,0.9976456350227584,2.0495949144683676,-1.0495949144683674,-0.020189037259123185,2.0448239151161327,0.9976208599462402,126
monkeyT_session-y070420006-10_lfp-7,T,2007-04-20,ar,1,1.48703550571025e-11,2.983599284043515e-11,0.9999999999701641,0.9999999999851175,0.05811967233315878,0.941880327666841,0.9709333214579734,0.05811967230332278,0.9999999994781483,126
monkeyT_session-y070420006-10_lfp-7,T,2007-04-20,ar,10,0.0013771909685520785,0.0027187844775006724,0.9972812155224993,0.9986531260762117,2.5831267311964745,-1.5831267311964745,-0.2975142429635829,2.5804079467189736,0.998927298624604,126
monkeyT_session-y070420006-10_lfp-7,T,2007-04-20,embedding,1,2.5639486996144065e-11,5.153251296216462e-11,0.9999999999484674,0.9999999999743183,0.05811967233315878,0.941880327666841,0.9709333214579734,0.05811967228162628,0.9999999990999122,126
monkeyT_session-y070420006-10_lfp-7,T,2007-04-20,embedding,10,0.0018194121405022694,0.003591818067381924,0.996408181932618,0.9982208204198836,2.5831267311964745,-1.5831267311964745,-0.2975142429635829,2.579534913129093,0.9985828874324814,126
monkeyT_session-y070423002-6_lfp-5,T,2007-04-23,ar,1,1.654672076978649e-11,2.6399826925517447e-11,0.9999999999736002,0.9999999999868358,0.04872336996698264,0.9512766300330171,0.9756269711863678,0.048723369940582795,0.9999999994442658,126
monkeyT_session-y070423002-6_lfp-5,T,2007-04-23,ar,10,0.001699915925550504,0.00269312214058677,0.9973068778594132,0.9986679383874013,2.3095153956509544,-1.3095153956509538,-0.1588465838075149,2.3068222735103667,0.9988068942378374,126
monkeyT_session-y070423002-6_lfp-5,T,2007-04-23,embedding,1,2.925611045824979e-11,4.6674350827938674e-11,0.9999999999533256,0.9999999999767294,0.04872336996698264,0.9512766300330171,0.9756269711863678,0.048723369920308277,0.9999999990153848,126
monkeyT_session-y070423002-6_lfp-5,T,2007-04-23,embedding,10,0.0022642777807105417,0.0035942816171640746,0.9964057183828358,0.9982219840473,2.3095153956509544,-1.3095153956509538,-0.1588465838075149,2.3059211140337896,0.9984069606073601,126
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,ar,1,1.5410137463858276e-11,2.5545535695716335e-11,0.9999999999744544,0.9999999999872625,0.04633237886423311,0.9536676211357669,0.9768169398811076,0.04633237883868757,0.9999999994320314,126
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,ar,10,0.0015426086093935504,0.0025301312158232223,0.9974698687841766,0.9987485156768847,2.196791660988631,-1.1967916609886315,-0.10501151565872656,2.1942615297728083,0.9988274418402419,126
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,embedding,1,2.8325156154035967e-11,4.7227446454330277e-11,0.9999999999527726,0.9999999999764501,0.04633237886423311,0.9536676211357669,0.9768169398811076,0.046332378817005686,0.9999999989560633,126
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,embedding,10,0.002144949204304507,0.0035294000462877,0.9964705999537122,0.9982544810992282,2.196791660988631,-1.1967916609886315,-0.10501151565872656,2.193262260942343,0.9983696095977234,126
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,ar,1,2.1265416294848718e-11,3.0475801151680264e-11,0.9999999999695243,0.9999999999848114,0.04077194745813147,0.9592280525418685,0.9796195045627208,0.04077194742765568,0.9999999992322506,126
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,ar,10,0.0021451914956080904,0.0030521848072393846,0.9969478151927607,0.9984919450581295,2.067568128693991,-1.0675681286939915,-0.03768519476826063,2.064515943886752,0.9984996785506176,126
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,embedding,1,3.6103101261148335e-11,5.2082653330272296e-11,0.9999999999479176,0.9999999999740469,0.04077194745813147,0.9592280525418685,0.9796195045627208,0.04077194740604884,0.9999999986932285,126
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,embedding,10,0.002811713864032942,0.004017659535455229,0.9959823404645447,0.9980171534948812,2.067568128693991,-1.0675681286939915,-0.03768519476826063,2.0635504691585362,0.9980309771925289,126
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,ar,1,1.4945746901048407e-11,2.6863563140293703e-11,0.9999999999731364,0.9999999999866033,0.053343819676996314,0.9466561803230038,0.9733132971133264,0.05334381965013275,0.9999999994818088,126
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,ar,10,0.0014860548870971296,0.002626847362306754,0.9973731526376932,0.9986982155307274,2.4409513185951974,-1.440951318595197,-0.22716123817884265,2.4383244712328898,0.9988958826870237,126
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,embedding,1,2.8187890586052277e-11,5.067614118316976e-11,0.999999999949324,0.9999999999747317,0.053343819676996314,0.9466561803230038,0.9733132971133264,0.053343819626320184,0.9999999990211695,126
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,embedding,10,0.002089504771673828,0.0036984963072220086,0.9963015036927779,0.9981674047674185,2.4409513185951974,-1.440951318595197,-0.22716123817884265,2.437252822287975,0.9984459756933557,126
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,ar,1,1.1565107123060874e-11,1.6877904852339633e-11,0.9999999999831223,0.9999999999915876,0.04479495813345431,0.9552050418665456,0.9776087441873444,0.04479495811657641,0.9999999996162299,132
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,ar,10,0.0010712416799151735,0.001573655523803451,0.9984263444761964,0.9992235517296078,2.2023994540055356,-1.2023994540055354,-0.09848989434753917,2.2008257984817323,0.9992768495252854,132
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,embedding,1,2.0434461238747134e-11,2.9843746695783394e-11,0.9999999999701563,0.9999999999851217,0.04479495813345431,0.9552050418665456,0.9776087441873444,0.044794958103610574,0.9999999993207321,132
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,embedding,10,0.0013924548233873305,0.0020486482100707678,0.9979513517899292,0.998989689781346,2.2023994540055356,-1.2023994540055354,-0.09848989434753917,2.2003508057954644,0.9990591134365316,132
monkeyT_session-y070424001-6_lfp-6,T,2007-04-24,ar,1,1.450212732381426e-11,1.9176924584122075e-11,0.9999999999808231,0.9999999999904376,0.04096933143686604,0.959030668563134,0.9795174383870542,0.04096933141768912,0.9999999995199101,132
monkeyT_session-y070424001-6_lfp-6,T,2007-04-24,ar,10,0.0013525075831777047,0.0017776779686325575,0.9982223220313675,0.9991210456153629,2.0597140965690968,-1.0597140965690968,-0.029618891999075202,2.0579364186004643,0.9991248605116296,132
monkeyT_session-y070424001-6_lfp-6,T,2007-04-24,embedding,1,2.5833053857441346e-11,3.434386072593463e-11,0.999999999965656,0.9999999999828734,0.04096933143686604,0.959030668563134,0.9795174383870542,0.04096933140252217,0.9999999991417331,132
monkeyT_session-y070424001-6_lfp-6,T,2007-04-24,embedding,10,0.00182790714949691,0.0024152139994468203,0.9975847860005531,0.9988065292193655,2.0597140965690968,-1.0597140965690968,-0.029618891999075202,2.05729888256965,0.9988136081284447,132
