recording,monkey,day,method,geometry_evaluable,macro_f1,n_trials
monkeyT_session-y070306006-11_lfp-5,T,2007-03-06,power_frequency,True,0.19132464580034914,102
monkeyT_session-y070306006-11_lfp-7,T,2007-03-06,all_bands,True,0.1744544280776165,102
monkeyT_session-y070306006-11_lfp-7,T,2007-03-06,ktorus,True,0.13975746081009235,102
monkeyT_session-y070306006-11_lfp-7,T,2007-03-06,ktorus_all_bands,True,0.18052356269022163,102
monkeyT_session-y070306006-11_lfp-7,T,2007-03-06,ktorus_power_frequency,True,0.1458533671358219,102
monkeyT_session-y070306006-11_lfp-7,T,2007-03-06,peak_frequency,True,0.08917306052855924,102
monkeyT_session-y070306006-11_lfp-7,T,2007-03-06,peak_power,True,0.1470264439704168,102
monkeyT_session-y070306006-11_lfp-7,T,2007-03-06,power_frequency,True,0.15479590117872852,102
monkeyT_session-y070307002-6_lfp-5,T,2007-03-07,all_bands,True,0.24981781579354886,126
monkeyT_session-y070307002-6_lfp-5,T,2007-03-07,ktorus,True,0.1732035122018144,126
monkeyT_session-y070307002-6_lfp-5,T,2007-03-07,ktorus_all_bands,True,0.24260707308069762,126
monkeyT_session-y070307002-6_lfp-5,T,2007-03-07,ktorus_power_frequency,True,0.16456626433123453,126
monkeyT_session-y070307002-6_lfp-5,T,2007-03-07,peak_frequency,True,0.1703781497140137,126
monkeyT_session-y070307002-6_lfp-5,T,2007-03-07,peak_power,True,0.17746534511240394,126
monkeyT_session-y070307002-6_lfp-5,T,2007-03-07,power_frequency,True,0.1660326292679234,126
monkeyT_session-y070307008-13_lfp-5,T,2007-03-07,all_bands,True,0.18125748125748128,132
monkeyT_session-y070307008-13_lfp-5,T,2007-03-07,ktorus,True,0.1442542391694934,132
monkeyT_session-y070307008-13_lfp-5,T,2007-03-07,ktorus_all_bands,True,0.16250922990053424,132
monkeyT_session-y070307008-13_lfp-5,T,2007-03-07,ktorus_power_frequency,True,0.17768063522780506,132
monkeyT_session-y070307008-13_lfp-5,T,2007-03-07,peak_frequency,True,0.1872466230295,132
monkeyT_session-y070307008-13_lfp-5,T,2007-03-07,peak_power,True,0.14449436012903505,132
monkeyT_session-y070307008-13_lfp-5,T,2007-03-07,power_frequency,True,0.2650689646487966,132
monkeyT_session-y070308002-6_lfp-6,T,2007-03-08,all_bands,True,0.30201630633953214,126
monkeyT_session-y070308002-6_lfp-6,T,2007-03-08,ktorus,True,0.17029003511561655,126
monkeyT_session-y070308002-6_lfp-6,T,2007-03-08,ktorus_all_bands,True,0.19332744998553208,126
monkeyT_session-y070308002-6_lfp-6,T,2007-03-08,ktorus_power_frequency,True,0.19202477739063106,126
monkeyT_session-y070308002-6_lfp-6,T,2007-03-08,peak_frequency,True,0.1757544152412738,126
monkeyT_session-y070308002-6_lfp-6,T,2007-03-08,peak_power,True,0.11882050622960731,126
monkeyT_session-y070308002-6_lfp-6,T,2007-03-08,power_frequency,True,0.15877558230499408,126
monkeyT_session-y070312001-5_lfp-7,T,2007-03-12,all_bands,False,0.22882704468070322,126
monkeyT_session-y070312001-5_lfp-7,T,2007-03-12,peak_frequency,False,0.24273170294253388,126
monkeyT_session-y070312001-5_lfp-7,T,2007-03-12,peak_power,False,0.25558162716165456,126
monkeyT_session-y070312001-5_lfp-7,T,2007-03-12,power_frequency,False,0.2400233642506823,126
monkeyT_session-y070312001-5_lfp-8,T,2007-03-12,all_bands,True,0.2015443905687808,126
monkeyT_session-y070312001-5_lfp-8,T,2007-03-12,ktorus,True,0.2154275817414336,126
monkeyT_session-y070312001-5_lfp-8,T,2007-03-12,ktorus_all_bands,True,0.20790986086247698,126
monkeyT_session-y070312001-5_lfp-8,T,2007-03-12,ktorus_power_frequency,True,0.2850714169863106,126
monkeyT_session-y070312001-5_lfp-8,T,2007-03-12,peak_frequency,True,0.20022209674383587,126
monkeyT_session-y070312001-5_lfp-8,T,2007-03-12,peak_power,True,0.22889805023852297,126
monkeyT_session-y070312001-5_lfp-8,T,2007-03-12,power_frequency,True,0.2325237230409644,126
monkeyT_session-y070314001-8_lfp-5,T,2007-03-14,all_bands,True,0.1763543042193297,102
monkeyT_session-y070314001-8_lfp-5,T,2007-03-14,ktorus,True,0.33873385491879016,102
monkeyT_session-y070314001-8_lfp-5,T,2007-03-14,ktorus_all_bands,True,0.2888688212984946,102
monkeyT_session-y070314001-8_lfp-5,T,2007-03-14,ktorus_power_frequency,True,0.3083736524912995,102
monkeyT_session-y070314001-8_lfp-5,T,2007-03-14,peak_frequency,True,0.17613869416063835,102
monkeyT_session-y070314001-8_lfp-5,T,2007-03-14,peak_power,True,0.1482523074134574,102
monkeyT_session-y070314001-8_lfp-5,T,2007-03-14,power_frequency,True,0.223015873015873,102
monkeyT_session-y070314001-8_lfp-7,T,2007-03-14,all_bands,True,0.14582778426591814,102
monkeyT_session-y070314001-8_lfp-7,T,2007-03-14,ktorus,True,0.20139303284666696,102
monkeyT_session-y070314001-8_lfp-7,T,2007-03-14,ktorus_all_bands,True,0.21849287623281433,102
monkeyT_session-y070314001-8_lfp-7,T,2007-03-14,ktorus_power_frequency,True,0.2556082617627609,102
monkeyT_session-y070314001-8_lfp-7,T,2007-03-14,peak_frequency,True,0.16203725656058313,102
monkeyT_session-y070314001-8_lfp-7,T,2007-03-14,peak_power,True,0.1586089065255732,102
monkeyT_session-y070314001-8_lfp-7,T,2007-03-14,power_frequency,True,0.19395976572447163,102
monkeyT_session-y070315003-8_lfp-5,T,2007-03-15,all_bands,True,0.15130262249827467,126
monkeyT_session-y070315003-8_lfp-5,T,2007-03-15,ktorus,True,0.17314029266916806,126
monkeyT_session-y070315003-8_lfp-5,T,2007-03-15,ktorus_all_bands,True,0.16579591024741536,126
monkeyT_session-y070315003-8_lfp-5,T,2007-03-15,ktorus_power_frequency,True,0.21443642497649465,126
monkeyT_session-y070315003-8_lfp-5,T,2007-03-15,peak_frequency,True,0.1990161817748025,126
monkeyT_session-y070315003-8_lfp-5,T,2007-03-15,peak_power,True,0.15775463418306782,126
monkeyT_session-y070315003-8_lfp-5,T,2007-03-15,power_frequency,True,0.17947569958099577,126
monkeyT_session-y070315003-8_lfp-6,T,2007-03-15,all_bands,True,0.22923657959983856,126
monkeyT_session-y070315003-8_lfp-6,T,2007-03-15,ktorus,True,0.19563587092349174,126
monkeyT_session-y070315003-8_lfp-6,T,2007-03-15,ktorus_all_bands,True,0.2387083201036689,126
monkeyT_session-y070315003-8_lfp-6,T,2007-03-15,ktorus_power_frequency,True,0.22497426524652842,126
monkeyT_session-y070315003-8_lfp-6,T,2007-03-15,peak_frequency,True,0.2246455619265635,126
monkeyT_session-y070315003-8_lfp-6,T,2007-03-15,peak_power,True,0.12757273377963033,126
monkeyT_session-y070315003-8_lfp-6,T,2007-03-15,power_frequency,True,0.2612299465240641,126
monkeyT_session-y070315003-8_lfp-8,T,2007-03-15,all_bands,True,0.16938434744299255,126
monkeyT_session-y070315003-8_lfp-8,T,2007-03-15,ktorus,True,0.16359061622816587,126
monkeyT_session-y070315003-8_lfp-8,T,2007-03-15,ktorus_all_bands,True,0.1949473103728423,126
monkeyT_session-y070315003-8_lfp-8,T,2007-03-15,ktorus_power_frequency,True,0.13444452833987716,126
monkeyT_session-y070315003-8_lfp-8,T,2007-03-15,peak_frequency,True,0.15899796995289855,126
monkeyT_session-y070315003-8_lfp-8,T,2007-03-15,peak_power,True,0.14273864671557812,126
monkeyT_session-y070315003-8_lfp-8,T,2007-03-15,power_frequency,True,0.16063778067456796,126
monkeyT_session-y070315009-14_lfp-5,T,2007-03-15,all_bands,True,0.21080369625973042,120
monkeyT_session-y070315009-14_lfp-5,T,2007-03-15,ktorus,True,0.20747352063141536,120
monkeyT_session-y070315009-14_lfp-5,T,2007-03-15,ktorus_all_bands,True,0.16992092634687495,120
monkeyT_session-y070315009-14_lfp-5,T,2007-03-15,ktorus_power_frequency,True,0.20116210232489304,120
monkeyT_session-y070315009-14_lfp-5,T,2007-03-15,peak_frequency,True,0.2346701782954463,120
monkeyT_session-y070315009-14_lfp-5,T,2007-03-15,peak_power,True,0.16052112708347663,120
monkeyT_session-y070315009-14_lfp-5,T,2007-03-15,power_frequency,True,0.3061894641735118,120
monkeyT_session-y070315009-14_lfp-6,T,2007-03-15,all_bands,True,0.23856026180003723,120
monkeyT_session-y070315009-14_lfp-6,T,2007-03-15,ktorus,True,0.1188194659393537,120
monkeyT_session-y070315009-14_lfp-6,T,2007-03-15,ktorus_all_bands,True,0.1639436151064058,120
