recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_power,True,2,0.0975609756097561
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_power,True,3,0.22727272727272727
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_power,True,4,0.2631578947368421
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_power,True,5,0.13043478260869565
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_power,True,6,0.3111111111111111
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,power_frequency,True,1,0.23255813953488372
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,power_frequency,True,2,0.0975609756097561
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,power_frequency,True,3,0.2
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,power_frequency,True,4,0.25
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,power_frequency,True,5,0.1702127659574468
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,power_frequency,True,6,0.06060606060606061
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,all_bands,True,1,0.2
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,all_bands,True,2,0.05555555555555555
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,all_bands,True,3,0.2222222222222222
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,all_bands,True,4,0.2727272727272727
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,all_bands,True,5,0.18604651162790697
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,all_bands,True,6,0.0625
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus,True,1,0.17142857142857143
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus,True,2,0.1935483870967742
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus,True,3,0.0
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus,True,4,0.17142857142857143
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus,True,5,0.12903225806451613
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus,True,6,0.044444444444444446
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_all_bands,True,1,0.18181818181818182
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_all_bands,True,2,0.12244897959183673
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_all_bands,True,3,0.05405405405405406
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_all_bands,True,4,0.15384615384615385
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_all_bands,True,5,0.12121212121212122
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_all_bands,True,6,0.0
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_power_frequency,True,1,0.14285714285714285
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_power_frequency,True,2,0.2631578947368421
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_power_frequency,True,3,0.0975609756097561
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_power_frequency,True,4,0.0975609756097561
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_power_frequency,True,5,0.05405405405405406
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus_power_frequency,True,6,0.0
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_frequency,True,1,0.0
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_frequency,True,2,0.1875
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_frequency,True,3,0.3103448275862069
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_frequency,True,4,0.06666666666666667
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_frequency,True,5,0.2916666666666667
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_frequency,True,6,0.10810810810810811
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_power,True,1,0.06451612903225806
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_power,True,2,0.20833333333333334
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_power,True,3,0.1951219512195122
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_power,True,4,0.2413793103448276
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_power,True,5,0.08695652173913043
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,peak_power,True,6,0.15384615384615385
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,power_frequency,True,1,0.0
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,power_frequency,True,2,0.30303030303030304
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,power_frequency,True,3,0.38461538461538464
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,power_frequency,True,4,0.2127659574468085
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,power_frequency,True,5,0.2222222222222222
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,power_frequency,True,6,0.12121212121212122
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,all_bands,True,1,0.05555555555555555
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,all_bands,True,2,0.17647058823529413
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,all_bands,True,3,0.14285714285714285
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,all_bands,True,4,0.08695652173913043
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,all_bands,True,5,0.2926829268292683
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,all_bands,True,6,0.26666666666666666
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus,True,1,0.2564102564102564
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus,True,2,0.17647058823529413
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus,True,3,0.14814814814814814
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus,True,4,0.17647058823529413
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus,True,5,0.07692307692307693
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus,True,6,0.375
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_all_bands,True,1,0.16666666666666666
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_all_bands,True,2,0.12121212121212122
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_all_bands,True,3,0.14814814814814814
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_all_bands,True,4,0.2
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_all_bands,True,5,0.12121212121212122
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_all_bands,True,6,0.30303030303030304
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_power_frequency,True,1,0.22857142857142856
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_power_frequency,True,2,0.18181818181818182
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_power_frequency,True,3,0.14814814814814814
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_power_frequency,True,4,0.20512820512820512
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_power_frequency,True,5,0.07692307692307693
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus_power_frequency,True,6,0.3125
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_frequency,True,1,0.08333333333333333
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_frequency,True,2,0.2857142857142857
