monkey,method,true_direction,predicted_direction,fraction
T,ktorus_power_frequency,2,5,0.09426076380865328
T,ktorus_power_frequency,2,6,0.11957477021016757
T,ktorus_power_frequency,3,1,0.14738497917971424
T,ktorus_power_frequency,3,2,0.18279459257625985
T,ktorus_power_frequency,3,3,0.2028905727665964
T,ktorus_power_frequency,3,4,0.17529709998590973
T,ktorus_power_frequency,3,5,0.15434776189023963
T,ktorus_power_frequency,3,6,0.1372849936012802
T,ktorus_power_frequency,4,1,0.14557248749242974
T,ktorus_power_frequency,4,2,0.16375464748251378
T,ktorus_power_frequency,4,3,0.16341836920832353
T,ktorus_power_frequency,4,4,0.20416994616948023
T,ktorus_power_frequency,4,5,0.17821302031317654
T,ktorus_power_frequency,4,6,0.1448715293340762
T,ktorus_power_frequency,5,1,0.1374494868398884
T,ktorus_power_frequency,5,2,0.11365236976510275
T,ktorus_power_frequency,5,3,0.16047618179892476
T,ktorus_power_frequency,5,4,0.16145502411152457
T,ktorus_power_frequency,5,5,0.23308683040458456
T,ktorus_power_frequency,5,6,0.193880107079975
T,ktorus_power_frequency,6,1,0.17638885943040317
T,ktorus_power_frequency,6,2,0.13818017083733647
T,ktorus_power_frequency,6,3,0.122222307702252
T,ktorus_power_frequency,6,4,0.15881798824378118
T,ktorus_power_frequency,6,5,0.19034811792806122
T,ktorus_power_frequency,6,6,0.21404255585816595
T,peak_frequency,1,1,0.16141155087923764
T,peak_frequency,1,2,0.2679972068297717
T,peak_frequency,1,3,0.12574963612637538
T,peak_frequency,1,4,0.1535732567631781
T,peak_frequency,1,5,0.1623970212408073
T,peak_frequency,1,6,0.12887132816062988
T,peak_frequency,2,1,0.183646382004631
T,peak_frequency,2,2,0.33004338492081714
T,peak_frequency,2,3,0.12685213992725697
T,peak_frequency,2,4,0.14069884094748247
T,peak_frequency,2,5,0.10600055364142225
T,peak_frequency,2,6,0.11275869855839023
T,peak_frequency,3,1,0.1384397266828884
T,peak_frequency,3,2,0.18728854721025803
T,peak_frequency,3,3,0.1380913440525173
T,peak_frequency,3,4,0.16150854463194897
T,peak_frequency,3,5,0.21641465324206058
T,peak_frequency,3,6,0.15825718418032667
T,peak_frequency,4,1,0.11642297657092554
T,peak_frequency,4,2,0.1906591049627853
T,peak_frequency,4,3,0.15450890232416753
T,peak_frequency,4,4,0.16920643208367292
T,peak_frequency,4,5,0.20427547035245672
T,peak_frequency,4,6,0.16492711370599203
T,peak_frequency,5,1,0.12231908997009755
T,peak_frequency,5,2,0.14408433235347454
T,peak_frequency,5,3,0.14611976283329497
T,peak_frequency,5,4,0.17468004168360007
T,peak_frequency,5,5,0.2418362676794897
T,peak_frequency,5,6,0.1709605054800431
T,peak_frequency,6,1,0.12653123933578644
T,peak_frequency,6,2,0.19965801672595698
T,peak_frequency,6,3,0.14950908110289896
T,peak_frequency,6,4,0.16167932392125198
T,peak_frequency,6,5,0.2097533075844453
T,peak_frequency,6,6,0.15286903132966032
T,peak_power,1,1,0.17826005725812624
T,peak_power,1,2,0.1516003265823125
T,peak_power,1,3,0.17372857997263214
T,peak_power,1,4,0.13388623035949465
T,peak_power,1,5,0.1595997743865306
T,peak_power,1,6,0.20292503144090382
T,peak_power,2,1,0.1171603942526391
T,peak_power,2,2,0.2127409532907936
T,peak_power,2,3,0.2235836276377306
T,peak_power,2,4,0.19105675772811792
T,peak_power,2,5,0.1155352928676551
T,peak_power,2,6,0.13992297422306366
T,peak_power,3,1,0.11918065957161608
T,peak_power,3,2,0.19761073262889714
T,peak_power,3,3,0.24412950645096232
T,peak_power,3,4,0.17493250832342622
T,peak_power,3,5,0.1305281192804459
T,peak_power,3,6,0.1336184737446523
T,peak_power,4,1,0.13153092014683937
T,peak_power,4,2,0.16535117057059784
T,peak_power,4,3,0.2137170180513459
T,peak_power,4,4,0.2047359109455423
T,peak_power,4,5,0.14313620264589813
T,peak_power,4,6,0.14152877763977637
T,peak_power,5,1,0.15541952123494246
T,peak_power,5,2,0.1479648823731329
T,peak_power,5,3,0.18949927085966314
T,peak_power,5,4,0.16959703002014864
T,peak_power,5,5,0.14901553102737888
T,peak_power,5,6,0.188503764484734
T,peak_power,6,1,0.18632869950711928
T,peak_power,6,2,0.13973814106619756
T,peak_power,6,3,0.15032017387792437
T,peak_power,6,4,0.15150058300958608
T,peak_power,6,5,0.16396369670795938
T,peak_power,6,6,0.2081487058312133
T,power_frequency,1,1,0.21908962691717937
T,power_frequency,1,2,0.1917463353601681
T,power_frequency,1,3,0.15335791882188163
T,power_frequency,1,4,0.1302332295475778
T,power_frequency,1,5,0.14221973236600471
T,power_frequency,1,6,0.16335315698718836
T,power_frequency,2,1,0.14502891888014055
T,power_frequency,2,2,0.3476816217183889
T,power_frequency,2,3,0.19080748109308582
T,power_frequency,2,4,0.14780040416461196
T,power_frequency,2,5,0.06848967175100809
T,power_frequency,2,6,0.10019190239276467
T,power_frequency,3,1,0.12038950158685806
T,power_frequency,3,2,0.18718049541628665
T,power_frequency,3,3,0.2511934929097277
T,power_frequency,3,4,0.17801375463660968
T,power_frequency,3,5,0.14376534509302988
T,power_frequency,3,6,0.11945741035748801
T,power_frequency,4,1,0.11190061565828802
T,power_frequency,4,2,0.183439488802661
T,power_frequency,4,3,0.20250754190875622
T,power_frequency,4,4,0.21182223623828622
T,power_frequency,4,5,0.15924333746225405
T,power_frequency,4,6,0.13108677992975445
T,power_frequency,5,1,0.14144894101622393
T,power_frequency,5,2,0.10436547916632277
T,power_frequency,5,3,0.19092000467933007
T,power_frequency,5,4,0.17009190794393944
T,power_frequency,5,5,0.2117591049653132
T,power_frequency,5,6,0.18141456222887056
T,power_frequency,6,1,0.17437031847847262
T,power_frequency,6,2,0.1283851687012312
T,power_frequency,6,3,0.15495755949030895
T,power_frequency,6,4,0.15736476822325565
T,power_frequency,6,5,0.18133166235982912
T,power_frequency,6,6,0.20359052274690245
