recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080904008-14_lfp-5,M,2,ok,2,5,16.0,13.872347071486127,36,72,"[22.0, 34.0]",2.0,[],True
monkeyM_session-o080904008-14_lfp-5,M,3,ok,2,5,20.0,6.016078145322977,36,72,"[22.0, 34.0]",2.0,[],True
monkeyM_session-o080904008-14_lfp-5,M,4,ok,2,5,19.0,12.299492047170407,36,72,"[22.0, 34.0]",2.0,[],True
monkeyM_session-o080904008-14_lfp-6,M,0,ok,1,3,51.0,1.313696670174151,10,72,[14.0],7.2,[],True
monkeyM_session-o080904008-14_lfp-6,M,1,ok,1,3,56.0,3.173141866875186,10,72,[10.0],7.2,[],True
monkeyM_session-o080904008-14_lfp-6,M,2,ok,1,3,56.0,1.74890521580898,10,72,[16.0],7.2,[],True
monkeyM_session-o080904008-14_lfp-6,M,3,ok,1,3,61.0,1.6406609703449344,10,72,[10.0],7.2,[],True
monkeyM_session-o080904008-14_lfp-6,M,4,ok,1,3,59.0,1.2808852607959529,10,72,[12.0],7.2,[],True
monkeyM_session-o080905001-6_lfp-5,M,0,ok,1,3,21.0,2.3373285285729897,10,105,[20.0],10.5,[],True
monkeyM_session-o080905001-6_lfp-5,M,1,ok,1,3,21.0,2.3373285285729897,10,105,[20.0],10.5,[],True
monkeyM_session-o080905001-6_lfp-5,M,2,ok,1,3,21.0,2.1067886059378,10,106,[28.0],10.6,[],True
monkeyM_session-o080905001-6_lfp-5,M,3,ok,1,3,20.0,3.173141866875186,10,106,[28.0],10.6,[],True
monkeyM_session-o080905001-6_lfp-5,M,4,ok,1,3,21.0,2.3373285285729897,10,106,[20.0],10.6,[],True
monkeyM_session-o080910001-5_lfp-5,M,0,ok,3,7,12.0,1.7246637901414335,92,76,"[6.0, 18.0, 36.0]",0.8260869565217391,"[{""lower_hz"": 6.0, ""upper_hz"": 18.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}, {""lower_hz"": 18.0, ""upper_hz"": 36.0, ""multiple"": 2}]",True
monkeyM_session-o080910001-5_lfp-5,M,1,ok,3,7,13.0,2.89959693958528,92,77,"[6.0, 18.0, 36.0]",0.8369565217391305,"[{""lower_hz"": 6.0, ""upper_hz"": 18.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}, {""lower_hz"": 18.0, ""upper_hz"": 36.0, ""multiple"": 2}]",True
monkeyM_session-o080910001-5_lfp-5,M,2,ok,3,7,12.0,1.7246637901414335,92,77,"[6.0, 18.0, 36.0]",0.8369565217391305,"[{""lower_hz"": 6.0, ""upper_hz"": 18.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}, {""lower_hz"": 18.0, ""upper_hz"": 36.0, ""multiple"": 2}]",True
monkeyM_session-o080910001-5_lfp-5,M,3,ok,3,7,12.0,1.7246637901414335,92,77,"[6.0, 18.0, 36.0]",0.8369565217391305,"[{""lower_hz"": 6.0, ""upper_hz"": 18.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}, {""lower_hz"": 18.0, ""upper_hz"": 36.0, ""multiple"": 2}]",True
