,normalized_3d_set_error,normalized_3d_set_error,rms_3d_set_distance,rms_3d_set_distance,mean_3d_set_distance,mean_3d_set_distance,native_mse,native_mse,native_mean_error,native_mean_error,native_frac_inside,native_frac_inside,native_r_squared,native_r_squared,native_hole_quality,native_hole_quality,native_frac_in_hole,native_frac_in_hole
model,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus
original_trial_number,,,,,,,,,,,,,,,,,,
158,0.1705614126823698,0.0007488039810953,0.7384513588947667,0.0489289137362598,0.5939318642291157,0.0137807519745945,0.5453104094535275,0.0023940385994103,0.0084466947395313,0.0137807519745945,0.935897435897436,0.8696581196581197,0.9995501216567814,0.9992511960189048,0.1128642954160945,0.1153551679700429,0.0363247863247863,0.0961538461538461
159,0.3179776185790625,0.0015913491217029,0.8657470822980107,0.0612456847713746,0.6360398620936425,0.0159044138593072,0.7495180105075185,0.0037510339031145,0.0106908911552097,0.0159044138593072,0.908119658119658,0.908119658119658,0.9991522331587984,0.998408650878297,0.2207494439798906,-0.1004405072826628,0.0576923076923076,0.079059829059829
164,0.1036530011161651,0.0005736179952202,0.4570747193047186,0.0340022490793938,0.356262798752116,0.0092921758003395,0.2089172990274873,0.0011561529424571,0.0100309910117168,0.0092921758003395,0.9123931623931624,0.8910256410256411,0.9992444217608104,0.9994263820047798,0.2328719609041221,0.2070451223779541,0.0534188034188034,0.0534188034188034
177,0.2472331232255361,0.0016293807677154,0.7869774142525343,0.0638881384324381,0.626329765566291,0.0165197965327452,0.619333450543605,0.0040816942323623,0.0099066162987287,0.0165197965327452,0.9166666666666666,0.8846153846153846,0.9992830840666088,0.9983706192322844,0.1685893053602779,-0.0701083846420038,0.0534188034188034,0.0833333333333333
186,0.2130510571445647,0.0004382285492941,1.0518280015781396,0.0477038263214458,0.8080851388097761,0.0120903588846042,1.1063421449038628,0.0022756550457066,0.0077766705825306,0.0120903588846042,0.938034188034188,0.903846153846154,0.9997024212908192,0.999561771450706,0.128967230118375,0.0037324930613596,0.0363247863247863,0.0619658119658119
187,0.3064009282133399,0.0010921335983031,0.9267120162182352,0.0553270659798319,0.6965166394885036,0.0133968136609696,0.8587951610032668,0.0030610842299366,0.0108811166012984,0.0133968136609696,0.9102564102564102,0.9017094017094016,0.9992598678778264,0.9989078664016968,0.1818153826491788,-0.1168948155061082,0.0534188034188034,0.0705128205128205
188,0.229842891960878,0.0018742893835256,0.940798268826252,0.0849570245033945,0.7454473590436926,0.0238015444162718,0.8851013826264728,0.0072176960124703,0.0091271256719001,0.0238015444162718,0.9145299145299144,0.8803418803418803,0.9996118709008518,0.9981257106164744,0.1347470441884141,-0.435663966460829,0.0576923076923076,0.0811965811965812
194,0.2990963971168052,0.001501066208343,0.8703267588086266,0.0616561879383891,0.6718590326288192,0.0169171885295984,0.7574686670983294,0.0038014855110939,0.0128588442150388,0.0169171885295984,0.8547008547008547,0.8824786324786325,0.9992521211381984,0.998498933791657,0.279572136574133,-0.0287650434088393,0.0833333333333333,0.0982905982905982
195,0.2976952831940725,0.0022196074879875,0.7701693133871617,0.0665025539935534,0.6398707762236348,0.0191708809899218,0.5931607712832521,0.0044225896876654,0.0125943301249761,0.0191708809899218,0.8760683760683761,0.8653846153846154,0.9989576550695696,0.9977803925120124,0.1642422087302393,-0.1009795270854665,0.0769230769230769,0.1068376068376068
196,0.2283272120960691,0.0010566463027127,0.8749082049424735,0.0595180194943249,0.7019794694070639,0.0165738026724429,0.7654643670756611,0.0035423946445268,0.0129575588419203,0.0165738026724429,0.8867521367521367,0.8696581196581197,0.9991944350757584,0.9989433536972872,0.0884283056401498,0.0092097444557308,0.0662393162393162,0.0619658119658119
197,0.2391767962711314,0.0008702150319793,0.9489277072120736,0.0572383223152702,0.7243788789524878,0.0169476389872582,0.9004637935147629,0.0032762255414667,0.0105427695676748,0.0169476389872582,0.9316239316239316,0.8739316239316239,0.9992677505775454,0.9991297849680206,0.0843772482201182,-0.0662648231075644,0.047008547008547,0.0811965811965812
198,0.2024693150328243,0.0016809621539135,0.6935637317975445,0.0631954390863128,0.5961569374957403,0.0184517263683498,0.4810306500649363,0.0039936635213118,0.0107838237591911,0.0184517263683498,0.9188034188034188,0.8504273504273504,0.9991391540943946,0.9983190378460864,0.1346762224031867,0.0565783097699674,0.0512820512820512,0.1068376068376068
199,0.1840570872386874,0.0015803461891859,0.7472889258105507,0.0692449953983974,0.577313832695946,0.0201454070932797,0.5584407386390867,0.004794869387724,0.0083879117276656,0.0201454070932797,0.905982905982906,0.8675213675213675,0.999658365074825,0.998419653810814,0.1094603107516622,-0.0679622459066238,0.0534188034188034,0.0854700854700854
200,0.2938126692659746,0.001101700459022,0.902555267133384,0.0552675624738149,0.6987009000803235,0.013141573438219,0.8146060102302142,0.003054503461797,0.0098641902300534,0.013141573438219,0.9102564102564102,0.9188034188034188,0.9994266574425424,0.998898299540978,0.1261739998900443,-0.0269671895350878,0.0491452991452991,0.0598290598290598
205,0.2801580509220338,0.0042096701549923,0.6504446233394573,0.0797320276401494,0.5263545158556048,0.0236169902600702,0.4230782080312085,0.0063571962316095,0.0138861094397447,0.0236169902600702,0.8803418803418803,0.8589743589743589,0.9981781341182688,0.9957903298450076,0.1251276983883322,-0.0875301608975163,0.0854700854700854,0.1089743589743589
