permutation_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
184,0.15301345855861656,0.15354569417637703,0.1914161699356676,0.1582449308531831,0.17160033715685138
185,0.11500577736837807,0.1477000289624149,0.14972397615903182,0.12135793573291864,0.100756684216266
186,0.15236145259578815,0.15444824250770542,0.16176963280621817,0.10205562871941326,0.07002181826367213
187,0.1408468576497486,0.11474381591394077,0.11096891786680789,0.1425213675213675,0.10476765776930512
188,0.1407453203789004,0.16383177424582326,0.159141019621793,0.1760239823595988,0.14918678536988567
189,0.14583954036159918,0.1718980253463012,0.12817025405888907,0.15101252261705617,0.1861689163697772
190,0.15059357022477626,0.17835835188776364,0.1655228328031803,0.1807727236210297,0.1436759980238241
191,0.14456006385335987,0.09444739807475884,0.1247824533037213,0.14993041610963084,0.17442397345858443
192,0.08994586661929461,0.13355330739057267,0.13713460335490715,0.10586364335573606,0.14086455649371196
193,0.11650626145817695,0.1715207082134382,0.16166940582533895,0.1518896130363724,0.15293744028688364
194,0.14438688503992592,0.13908562681106137,0.16089470857290686,0.14957000391322425,0.11723335112849849
195,0.10833886834758753,0.1260584924420358,0.12496107602185148,0.129048026670839,0.18052496559009024
196,0.12261909694928726,0.1275133999710271,0.09140361988387401,0.09345306551106913,0.12762105122742917
197,0.134323940006526,0.13947992947151902,0.14983934308183475,0.20048537916649997,0.11692034093603337
198,0.14115348240276612,0.16224584848622062,0.12353241255578194,0.1342165541024189,0.09587362147173702
199,0.13240367487180735,0.1311816862656415,0.1399630899917573,0.10064996360342739,0.13094600739569504
200,0.15901706784421726,0.08668364360145182,0.1314005111504678,0.14903697255270443,0.1450066886259974
201,0.12582734093202685,0.14429223931287916,0.14044916663070847,0.12078052322413224,0.1906642468448402
202,0.14262404526841166,0.1323910476393674,0.13876225377047546,0.16458092085446727,0.11142680462167869
203,0.1475473960899408,0.14388399334635896,0.15918087560120725,0.18445316257816258,0.11244227453606138
204,0.12752795637642692,0.1557500319128226,0.13859451863947705,0.14954896790380143,0.1895318203599096
205,0.10290528956048355,0.12362887157710716,0.13209616550173825,0.15537372969119514,0.17345441685034046
206,0.1422091563578491,0.12751582286833366,0.13169438665059574,0.13969817340560373,0.1552638314933397
207,0.14048111815695916,0.14161665094690234,0.12395974477311976,0.16183443439032347,0.14032799308049823
208,0.12167447660405406,0.12032750461893878,0.13651266757830946,0.11988559344274592,0.1372264719700557
209,0.10867410303215984,0.1180309176740678,0.13264919444038117,0.12859064426981723,0.18152602717197178
210,0.1370013900076887,0.12093263392672753,0.1274665393856888,0.18791252560599359,0.17401326880276788
211,0.16450374835924708,0.1233833638985864,0.11583960042895898,0.17215463298538022,0.1904247916829387
212,0.13324565833550103,0.12770331091144171,0.14152751298402472,0.16623299822590185,0.17214754919928646
213,0.12834408235758574,0.15629574708999197,0.13408868311230895,0.15350904432926563,0.18841528277503886
214,0.1288751232278699,0.15924775754139422,0.11169162151119054,0.13307635841744905,0.10520044110564437
215,0.13537187450230928,0.13936869554106382,0.13517215032141564,0.19337420261668178,0.1412175762944945
216,0.14499077149781606,0.13743759922560056,0.12953929915109233,0.15673011628893982,0.199157199519969
217,0.09613267914316515,0.11923398481430508,0.11527823203530295,0.1726305815350694,0.1873671426612603
218,0.14139409972743305,0.12941210597577316,0.19421331693314214,0.19462814488485236,0.2124684642722822
219,0.14747231842200548,0.1379813108309379,0.18744229626582568,0.1670386543421416,0.13028144857286278
220,0.11731128759776431,0.1248587045437644,0.10696555217831812,0.11945349871961801,0.16550868778614336
221,0.16091603121278372,0.150015711769402,0.16792619889892743,0.17290772499105833,0.20339619507701
222,0.18423032162194977,0.15863196529863197,0.16802143693308821,0.12545319665051888,0.12688910929373198
