resample_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
157,0.1534088491874253,0.15894283196508016,0.14737742832607237,0.22809645393576528,0.17938622979300736
158,0.136498185534147,0.17902102183683666,0.2102880527650813,0.21748824145517195,0.24220314627893935
159,0.16794398055154136,0.1606910824339615,0.16845084801741148,0.2502693686616917,0.21668859522883432
160,0.15308392253666045,0.19654793227049652,0.17396075530822416,0.21464674006453646,0.2369619295723134
161,0.15835164574377078,0.20196020488573682,0.20175112222144098,0.277744646245595,0.26689519911187765
162,0.18231265782240577,0.17859270691051862,0.1697228723973542,0.2138270633573702,0.23734718271500332
163,0.1451602104956255,0.17986553321569265,0.20974208008332443,0.2480425586198929,0.19904774577465176
164,0.15756317447262988,0.21709360857798551,0.23630875444600777,0.2277932935975068,0.26484540593452
165,0.1836996288597684,0.18625329946084665,0.23660208472941816,0.24446274789739086,0.22331781828541267
166,0.1451410195007748,0.17769517404610577,0.1914657331323998,0.237453780579968,0.31143109523391216
167,0.18572877764760243,0.17971160982850895,0.19146955608771146,0.25399480920314255,0.21891975308641975
168,0.19007839440384552,0.1604781725848757,0.1649983436554244,0.2025209952228586,0.2550030638449305
169,0.1422096180221373,0.1878557737073144,0.1689177324844009,0.18078694510228865,0.17857408292190902
170,0.16981361666262207,0.17165556990118394,0.15810137718032455,0.17356081022761036,0.2484483572826014
171,0.13738106578663853,0.1759939666399113,0.19516461322592227,0.21957250425204775,0.21482138322166552
172,0.1523383956042663,0.14885006173665968,0.2003792889209556,0.27155326301050237,0.2125421219132938
173,0.1614741211335168,0.15735030473679001,0.2126994328202764,0.18907826226369429,0.2525276809325317
174,0.12411784005588405,0.1516633548557433,0.154465745206649,0.21592746592746592,0.19181603795933064
175,0.12759645634754432,0.13872801059991166,0.18502170998138687,0.2173963814118924,0.2031881707378409
176,0.16613953207628604,0.22421846939548637,0.2601708519665176,0.24882217670983495,0.24909734734700073
177,0.1662930575038589,0.17965681792282195,0.17508482345162837,0.24121328012586007,0.2758762150234271
178,0.14046265188473261,0.18825687965308294,0.19454907791573128,0.17397770498080722,0.2435916349834335
179,0.15921960350366665,0.1546787910832574,0.14217452515530785,0.23708512821416047,0.22998693340804455
180,0.18768600615986683,0.12864077669902912,0.1941161741396579,0.19903736573453798,0.20646546964376422
181,0.21294479030012267,0.14502017192117625,0.20114880046386893,0.24977155197743436,0.2008835757745923
182,0.16583372013319828,0.14618114334053722,0.15568535923505497,0.27683024023653297,0.2358451686809896
183,0.16672115652378808,0.14526082972477658,0.21553243504463016,0.20778660698569165,0.18803872422250797
184,0.17453927344590306,0.16578498917174916,0.17345766052662603,0.24903227091014024,0.3020190604051363
185,0.18399343163000972,0.15412813269993955,0.2328098396159247,0.24900478373167448,0.20886677257577171
186,0.19703100192638537,0.15125249412572697,0.18070141570141574,0.26905448976470697,0.22688257104431572
187,0.13237581642096713,0.17791924224689826,0.18005389931096213,0.20832622904234158,0.18679686089383227
188,0.14636550738222884,0.1258749044551975,0.15056825958801487,0.2310851697948472,0.20606832175379283
189,0.13360677707587182,0.17756238490927115,0.15650368307157078,0.17908426016411497,0.19845638966120893
190,0.17404089405307,0.15214101589599158,0.1718330757601445,0.23712400464464575,0.2786807979301567
191,0.164395430056303,0.18262777367747254,0.20577481429333966,0.22068613485280153,0.2251155251549418
192,0.1918821839907908,0.17415842428099695,0.18778782764906962,0.203887916855912,0.22999600742149887
193,0.1650451721907401,0.15988975927103546,0.18655420592182456,0.22387985941550423,0.17680760367560713
194,0.18272927685242016,0.13581883478505105,0.19388428963742096,0.2769635631407949,0.17921941401529262
195,0.11817678237671292,0.16308838436196926,0.1544980764605808,0.26046620046620045,0.21356263390440464
196,0.13074293888248106,0.18449469285134015,0.1443415470916457,0.19946706601813,0.20144450177731912
197,0.11691394173627152,0.18949336971206412,0.1870041019182648,0.2012017856357479,0.19464897026326664
