row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,status,failure_reason,elapsed_seconds,centered_rms,geometry_usable,R1,R2,longest_H1_lifetime,normalized_H1_lifetime,H0_intervals,H0_infinite,H1_intervals,H1_infinite,H2_intervals,H2_infinite,plot_x
75,99,609,3,2,short,success,,13.630406293901617,1.8963078568579383,True,5.084321778904226,1.4588984905083795,0.8947549760341644,0.4718405678689306,494,1,149,0,6,0,3.0062474728990463
76,93,46,3,4,short,success,,10.085053772083484,1.8057462768896675,True,3.4202310114227763,1.089063914842,0.5381266623735428,0.2980079035801455,494,1,159,0,3,0,2.9354103557048083
77,89,615,3,0,short,success,,10.481517657986842,1.691393630924345,True,4.021045152621225,1.3182717181026848,0.5526655912399292,0.3267516095220827,494,1,162,0,7,0,2.8265219379419237
78,82,510,3,4,short,success,,12.053095672978088,1.91642855813354,True,4.381450340967027,1.2555360512824791,0.5314069092273712,0.2772902266416455,494,1,141,0,4,0,3.0982408339755256
79,96,43,3,0,short,success,,11.836506752995774,1.4901147221819624,True,3.7663494654357033,1.3699758474029191,0.5259990990161896,0.3529923509821939,494,1,184,0,10,0,3.172945233255166
80,86,147,3,3,short,success,,11.934069197974168,1.7090137981904872,True,3.661839604240635,1.463562641221524,0.5247409641742706,0.3070431407457734,494,1,156,0,10,0,2.9163606248242733
81,94,406,3,4,short,success,,10.077534578973427,2.143829386765557,True,5.517447598965513,1.5957467755917456,1.299720287322998,0.6062610650579404,494,1,150,0,10,0,2.934077546530187
82,74,200,3,1,short,success,,9.974115172051825,1.6880070145977184,True,3.596435616882279,1.2964215442791212,0.3674937486648559,0.217708662041571,494,1,147,0,3,0,2.9955593158474754
83,79,48,3,0,short,success,,12.334325131960211,2.2671132747482625,True,5.695187966212552,1.4101069209067292,1.1319156885147097,0.4992761945873198,494,1,129,0,8,0,3.1789417050195006
84,80,177,3,2,short,success,,10.968913813005202,1.585482520332904,True,3.596533520163289,1.2759905291379128,0.4737302958965301,0.2987925062693601,494,1,170,0,7,0,2.8651815973076284
85,97,319,3,3,short,success,,11.53138886601664,1.423848529796532,True,3.027842546586254,1.210756971403956,0.4157466739416122,0.2919879925718099,494,1,138,0,11,0,3.10179726643134
86,88,137,3,3,short,success,,11.279829944949595,1.5095969578286343,True,4.136065565816736,1.3160983877889372,0.4573904275894165,0.3029884402041424,494,1,145,0,5,0,2.9660649490245428
87,71,309,3,2,short,success,,10.991029690951107,1.5644618296822397,True,3.1229186849480235,1.1626743907860362,0.4166235625743866,0.2663047155704705,494,1,154,0,4,0,2.853477623084206
88,91,416,3,0,short,success,,11.714678151067346,1.6784702548253971,True,3.973404971203653,1.5358426392814233,0.6253877878189087,0.3725939056834609,494,1,164,0,5,0,3.0310796729439273
89,98,669,3,1,short,success,,9.36728421796579,2.4319558939608026,True,5.303393309817403,1.256116051144287,0.7702778279781342,0.3167318247386559,494,1,154,0,5,0,2.896715544252481
90,78,572,3,1,short,success,,10.566273615928369,1.8995987672866053,True,4.128325601907313,1.1323574442269144,0.6142806112766266,0.3233738733964686,494,1,151,0,6,0,2.825401445438794
91,100,477,3,0,short,success,,10.13030683400575,1.6675607031837767,True,3.935958748826618,1.2796452682627826,1.1081563830375671,0.6645373574238279,494,1,152,0,8,0,3.116777049168895
92,95,323,3,1,short,success,,12.594583760015666,1.624620018185195,True,4.140320987312797,1.3299741450480995,0.7642902135848999,0.4704424450208739,494,1,135,0,1,0,3.085017615039803
93,92,196,3,2,short,success,,14.945240869070403,1.851785971755045,True,5.130775216777794,1.40620741131849,1.649124264717102,0.8905587848006709,494,1,142,0,13,0,3.127397133933456
94,90,494,3,3,short,success,,11.538182427058928,1.900021831741347,True,4.502402442731473,1.2589436093596524,0.8622924089431763,0.4538328952530486,494,1,132,0,7,0,2.9274994992039196
95,75,51,3,4,short,success,,11.20123342901934,1.95589378837747,True,4.55131999060241,1.5748944086645649,0.8821450024843216,0.4510188680624182,494,1,173,0,12,0,2.875813460706
96,81,432,3,1,short,success,,11.503241505939512,1.3863806364793296,True,3.383625036767784,1.2739263971327104,0.3865295946598053,0.2788048134034713,494,1,167,0,5,0,3.050079635949328
97,70,144,3,2,short,success,,9.907294103992172,1.7515062796062744,True,3.426222929712408,1.1418478215676455,0.4885993897914886,0.2789595421269755,494,1,180,0,10,0,2.977277099593441
98,73,216,3,1,short,success,,9.159606761997566,1.4055898744690074,True,2.887669071911387,1.1390123988038852,0.4799150824546814,0.3414332239950006,494,1,163,0,7,0,3.132852073376586
99,114,312,4,2,short,success,,10.915195466019211,1.589516062983766,True,3.8997679209836313,1.3288668123138678,0.7630190849304199,0.4800323209682547,494,1,151,0,6,0,4.162719365192489
100,101,400,4,2,short,success,,10.485568374977449,1.8846920099430595,True,4.250989698351498,1.6093895137749097,0.5273477435112,0.2798057935880633,494,1,178,0,12,0,3.926452716199302
101,106,333,4,2,short,success,,10.481897598016076,1.5735729527825284,True,3.392998060113353,1.2270318188278015,0.7378237247467041,0.4688843459351662,494,1,155,0,0,0,4.060651993000993
102,109,459,4,4,short,success,,11.586590094026178,1.6344480985616685,True,3.744871751938514,1.2835529428397678,0.6396077871322632,0.3913295183218878,494,1,149,0,3,0,4.135760432143494
103,121,606,4,1,short,success,,10.535129774012605,1.5865747974284077,True,3.230595323705892,1.1832041264738773,0.4288343787193298,0.2702894180686621,494,1,180,0,9,0,4.006191757149322
104,125,86,4,0,short,success,,18.02129841409624,1.8361162583841484,True,4.561988877382166,1.252521331450308,0.8771233558654785,0.4777057835310386,494,1,141,0,2,0,3.915955853876974
105,110,242,4,0,short,success,,10.15009488502983,1.7053066662401668,True,4.014899553189594,1.3110078402267138,0.6091736257076263,0.3572223329489016,494,1,158,0,8,0,4.027158931683721
106,115,248,4,1,short,success,,10.77419720008038,1.7184360425891063,True,4.031594431074743,1.518104613180496,0.5704447031021118,0.3319557370564941,494,1,167,0,9,0,3.9660134779712912
107,103,89,4,4,short,success,,11.687230179086328,1.6921368748817844,True,3.580415995195004,1.3688537627163595,0.4094017744064331,0.2419436515353018,494,1,157,0,7,0,4.046364731427769
108,133,691,4,4,short,success,,12.310787284979597,2.1376515250266306,True,5.028933889290265,1.3707300268193046,0.8437725901603699,0.3947194293746537,494,1,144,0,6,0,3.8964056827345654
109,102,94,4,3,short,success,,9.69715828297194,1.7689115461315232,True,3.6389072641817664,1.171668483883855,0.4340361058712005,0.2453690275358341,494,1,148,0,4,0,4.167518196929557
110,119,17,4,0,short,success,,11.104882680927403,1.686898443342417,True,3.9055577623408575,1.517812526349492,0.558029443025589,0.3308020380408382,494,1,164,0,6,0,4.138604679582935
111,105,109,4,4,short,success,,11.545027790940368,1.789343599815948,True,4.484342052569348,1.5326821246610929,0.8296761512756348,0.4636762617090285,494,1,156,0,10,0,3.9060982217991573
112,127,695,4,3,short,success,,10.019514110055752,1.396889260078927,True,3.31136927096114,1.061751021638547,0.3615948557853699,0.2588572094576337,494,1,155,0,5,0,4.08450926716592
113,134,116,4,2,short,success,,14.260180165991189,1.386463874269496,True,3.3771648115247754,1.2499375825244277,0.588513195514679,0.4244706309601874,494,1,158,0,7,0,4.108294127612621
