row_index,original_trial_number,direction,homology_dimension,interval,birth,death,lifetime
39,10,2,0,424,0.0,0.2863204479217529,0.2863204479217529
39,10,2,0,425,0.0,0.2865706384181976,0.2865706384181976
39,10,2,0,426,0.0,0.2874198257923126,0.2874198257923126
39,10,2,0,427,0.0,0.2886128425598144,0.2886128425598144
39,10,2,0,428,0.0,0.2898412942886352,0.2898412942886352
39,10,2,0,429,0.0,0.2906746864318847,0.2906746864318847
39,10,2,0,430,0.0,0.2921038269996643,0.2921038269996643
39,10,2,0,431,0.0,0.2934528589248657,0.2934528589248657
39,10,2,0,432,0.0,0.2954766452312469,0.2954766452312469
39,10,2,0,433,0.0,0.2980197072029114,0.2980197072029114
39,10,2,0,434,0.0,0.2990503311157226,0.2990503311157226
39,10,2,0,435,0.0,0.301098108291626,0.301098108291626
39,10,2,0,436,0.0,0.3022675514221191,0.3022675514221191
39,10,2,0,437,0.0,0.3033731877803802,0.3033731877803802
39,10,2,0,438,0.0,0.3049370944499969,0.3049370944499969
39,10,2,0,439,0.0,0.3055326342582702,0.3055326342582702
39,10,2,0,440,0.0,0.305958479642868,0.305958479642868
39,10,2,0,441,0.0,0.3067224621772766,0.3067224621772766
39,10,2,0,442,0.0,0.3080440163612366,0.3080440163612366
39,10,2,0,443,0.0,0.3081869781017303,0.3081869781017303
39,10,2,0,444,0.0,0.3094664216041565,0.3094664216041565
39,10,2,0,445,0.0,0.3101871609687805,0.3101871609687805
39,10,2,0,446,0.0,0.3124770820140838,0.3124770820140838
39,10,2,0,447,0.0,0.3129424750804901,0.3129424750804901
39,10,2,0,448,0.0,0.3129604160785675,0.3129604160785675
39,10,2,0,449,0.0,0.31432044506073,0.31432044506073
39,10,2,0,450,0.0,0.3178331255912781,0.3178331255912781
39,10,2,0,451,0.0,0.3208479583263397,0.3208479583263397
39,10,2,0,452,0.0,0.3212175667285919,0.3212175667285919
39,10,2,0,453,0.0,0.3216248154640198,0.3216248154640198
39,10,2,0,454,0.0,0.3313154876232147,0.3313154876232147
39,10,2,0,455,0.0,0.3320060670375824,0.3320060670375824
39,10,2,0,456,0.0,0.3334432244300842,0.3334432244300842
39,10,2,0,457,0.0,0.3341075479984283,0.3341075479984283
39,10,2,0,458,0.0,0.3373534679412842,0.3373534679412842
