row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_40Hz_log10_peak_psd,12_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
139,143,294,5,1,short,5.103125594118111,22.3,4.534796735910749,5.029795972388549,4.5286483820937375,5.899072777230126,5.519632213262294
140,161,157,5,3,short,4.964065476073317,19.900000000000002,3.961819949393665,4.606958748733456,4.589093612460774,5.800623601470955,5.5334045798154134
141,165,328,5,4,short,4.9492335151275695,22.200000000000003,3.8750763749477297,3.296966464343328,4.677970018128072,5.840881267985891,5.202335309600477
142,152,560,5,3,short,4.647335614220577,23.0,4.324239972915485,4.872509732858293,4.514878546303052,5.390892388525046,5.04610949811342
143,166,706,5,1,short,4.184684039551273,12.0,4.445996297241229,4.737867705260783,5.057836606822188,5.065290945744568,5.190894024505272
144,147,485,5,4,short,5.171825884113033,19.5,3.6343406655187955,4.52562048852945,4.523132530050984,6.035390139482321,5.408094352060916
145,162,241,5,2,short,4.48534321115901,18.1,4.30274938199868,4.3523883711772395,4.799279236526833,5.376718623335683,5.27755382395766
146,136,410,5,3,short,4.987699806585957,21.0,4.1573783079794175,4.446159771362952,4.311106556250679,5.837559055599159,5.0710209833321835
147,138,581,5,0,short,4.491851398262556,22.6,4.20973622103767,4.141416011189039,4.474083092318837,5.527193304319708,5.257054996344935
148,146,367,5,0,short,4.958811708624859,20.8,4.192574380327379,4.609593990458912,4.782343371811094,6.027934785753791,4.949724808851205
149,163,63,5,4,short,4.822726415640889,19.8,3.243729364046942,4.073208638716858,4.38440722019557,5.744626559696819,5.3115563212762815
150,142,271,5,3,short,4.961702107103889,19.900000000000002,4.217604356041734,4.599320428925403,5.065105371424511,5.991579033741015,5.12705737105764
151,151,436,5,2,short,4.8879877754869065,20.700000000000003,3.571411668502204,4.392907768167496,4.455434028003251,5.8886846063452944,5.412701129367514
152,158,45,5,1,short,4.90866960192623,21.400000000000002,4.440030799963987,4.367275824342517,4.478501468516958,5.6910877444767625,5.118975696271982
153,135,399,5,4,short,4.851396182719296,20.0,4.141781782086126,4.2608093598196355,3.872159580105681,5.687430624317996,5.239185679580788
154,155,194,5,0,short,4.763695640630343,25.0,4.705587462227241,4.705948725806385,4.434237020559976,5.649608390708053,4.948685305245092
155,159,700,5,3,short,4.922860624492646,20.400000000000002,3.802393686317032,5.0100104503847405,4.753534845642992,5.7776714080242835,5.296175458262245
156,137,300,5,2,short,4.438754383807718,23.8,4.233674996013299,4.659326688950765,4.36369155871107,5.470445989540461,5.287292519675965
157,144,542,5,4,short,4.834888786172342,20.900000000000002,4.311663872626577,4.653626961920116,4.382124009586623,5.606915175077359,5.3922713896948276
158,168,6,5,1,short,4.689283182096042,29.700000000000003,4.446273134803775,5.218957316279986,4.573562806123453,5.775940070599076,5.423792798639232
159,140,693,5,4,short,4.92296885685835,24.3,4.277030495969363,4.584192231188587,4.268154524257927,5.761125573710894,5.283263873773113
160,154,143,5,1,short,5.160922365727164,18.8,4.29474106343929,4.847613230670975,4.8482622684346195,5.883867610283159,5.272989933394571
161,148,446,5,2,short,4.549362492329275,17.400000000000002,4.016915235862401,4.33464301381622,4.482406715471396,5.325357806021313,5.328361989993488
162,164,705,5,3,short,4.770336989276555,23.8,4.635150465436883,4.814216137196434,4.598406434528538,5.597744200682795,5.367207119426405
163,157,476,5,2,short,5.125119977938258,21.8,4.52789917828982,5.143861446108251,4.914578823819689,5.981120158768966,5.3328865361688225
164,167,568,5,3,short,4.346610352936918,18.7,3.429551905124954,4.192800769447296,4.6000363609419095,5.135481100998936,5.268500429206627
165,177,105,6,2,short,4.795490956437435,25.700000000000003,3.5546584482253953,4.09882052018872,4.746749993196737,5.732761885663487,5.400276859036984
166,179,555,6,2,short,4.35019610988175,27.3,4.776153500214979,4.802559618653342,4.970919830159524,5.404987595875383,5.2151198743240705
167,187,650,6,0,short,5.039054572357761,22.200000000000003,4.188257031162738,4.470031715091572,4.883887151931178,5.800066434302879,5.456404272930055
168,186,186,6,1,short,4.397425138282636,30.5,3.228170642363734,4.877670358445549,4.968014637621235,5.1263259238966254,5.381170623071402
