row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_25Hz_log10_peak_psd,25_40Hz_log10_peak_psd,12_25Hz_peak_frequency_hz,25_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
111,122,568,4,1,short,5.455427854182598,6.062595272583304,19.8,33.7,5.672440295440549,5.473618220933921,5.4144833435558235,6.783071234432163,6.749533456013756
112,110,642,4,1,short,5.609448589987828,6.058643417187158,25.0,28.6,5.2190700592773345,5.209039069083732,5.868904134494336,6.849924971054974,6.380177842811896
113,109,458,4,4,short,5.400071735949716,5.898075368400019,12.0,29.6,5.48267264864214,5.35856327913885,6.202348871086206,6.793595445204949,6.694548426625577
114,106,232,4,2,short,5.7815321347195905,6.312271728070817,25.0,29.1,5.696896190986569,6.029675652117075,5.874311056868703,7.056638313481231,6.770745044280278
115,115,19,4,3,short,5.2111043195122315,5.839691343359794,25.0,33.1,5.1270613218076875,5.473231613169082,5.670327130002371,6.259753921542607,6.583392036672486
116,137,490,4,1,short,5.106968145773472,5.095810680108846,24.5,25.0,5.097038513728752,5.0405384736251815,5.114209907153759,6.038882853651012,5.9901971588273
117,118,131,4,0,short,5.2381128284739535,6.3206691158157975,25.0,30.6,4.907815877939332,5.643202423365116,5.758766825633126,6.744274905319868,6.826827310314704
118,139,480,4,3,short,5.373611597522303,5.214532425318074,21.6,36.1,5.881759264476471,5.730653153672409,5.706856785772548,6.258838003899906,6.288336337001302
119,108,316,4,0,short,5.606844377398084,5.643750461141853,12.5,29.700000000000003,3.8977588152577103,5.314421190492396,6.2741275641416525,6.434214838224731,6.30564749480233
120,125,634,4,3,short,5.771207509150727,6.5375913845307005,25.0,29.200000000000003,5.887835942439853,6.404611601091294,5.933357143867374,7.254981343705699,6.748855120427952
121,111,294,4,3,short,5.409128822713102,5.891673028552094,14.4,32.300000000000004,4.7610061468498435,5.987240770607177,6.050992681011163,6.590744506464066,6.705433039955071
122,128,129,4,0,short,4.996838367689055,5.8314025575568245,17.7,33.0,5.501555009935646,5.200021338362502,5.2840316976864505,6.143408860462459,6.555339559042998
123,124,132,4,4,short,5.326089659037676,5.458407150493733,12.0,29.700000000000003,5.951478875408072,6.25932568889603,6.257219714354632,6.225096402937718,6.1555928569603955
124,123,774,4,3,short,5.5494280429605825,5.6123523568549025,25.0,26.700000000000003,7.206574861025805,6.309585466017587,5.469026995425599,6.554223935126767,6.062752772368494
125,132,314,4,4,short,4.909667060725795,6.237521019221666,17.2,30.900000000000002,4.395691250644415,6.126674733996969,5.744617480516904,6.598527945536828,7.0806823144642514
126,121,288,4,1,short,5.138484087749459,5.294401644578301,20.200000000000003,29.400000000000002,5.3809087225551275,6.080484587146895,5.70103276087973,6.199565691669484,6.0085838454516844
127,102,587,4,2,short,4.770560499539944,5.200061460535539,16.6,32.1,6.095932890420354,5.379435489712977,4.937919856494288,5.871588130713346,5.941346954971476
128,116,14,4,2,short,5.180392297418232,6.0110631937600365,25.0,30.8,5.9340234024651215,5.76798293294082,5.1931776066855715,6.498658109923093,6.605056480588466
129,140,125,4,4,short,5.066118720621986,5.646431932736738,18.2,32.7,5.836906720424343,6.303022390781601,5.594661126881115,6.209206120025589,6.618596862339133
130,119,461,4,2,short,5.208460312404972,6.252487453398728,25.0,29.8,5.420632514322883,5.732697770730801,5.520577376427622,6.77757819280407,6.764515182960909
131,133,363,4,3,short,5.476889795243857,6.122523802273303,19.400000000000002,29.1,6.070052448432981,6.399952011796759,5.637829531876106,6.860794380195848,6.681019815966051
132,146,767,5,4,short,5.657043625543606,6.180903166123806,25.0,28.200000000000003,4.6974166231356005,4.940432689905374,5.893542869541134,6.916879414183298,6.602645831033822
