window_index,stage_name,feature,value,plotted_x
595,post_TC,R1,4.683459405266021,1.0572953166263594
601,post_TC,R1,3.990195758667782,1.0881122233196971
607,post_TC,R1,5.380444922704766,0.8292508491046615
613,post_TC,R1,3.590113940412345,0.9705342189406048
619,post_TC,R1,3.2946426032196303,1.0486115409423276
625,post_TC,R1,3.4938668451946944,1.1914782096870755
631,post_TC,R1,3.861626686998886,1.0674579753510023
637,post_TC,R1,3.713724032918296,0.8050937145302257
643,post_TC,R1,3.6416172001350553,0.88378850346856
649,post_TC,R1,5.004489857358417,1.117721856351015
655,post_TC,R1,5.086761516362484,0.9675269586888511
661,post_TC,R1,4.765601713799335,0.8683255005221986
667,post_TC,R1,4.10223453377669,1.198319463858035
673,post_TC,R1,3.294416136652275,1.0574745466451287
679,post_TC,R1,4.141366829876933,0.9100379215055668
685,post_TC,R1,4.899032756641327,0.9141399299696296
691,post_TC,R1,4.579362055914843,0.8203767734357665
697,post_TC,R1,2.927804772609218,1.085371676421764
703,post_TC,R1,3.4015132590149424,1.0118170220735467
709,post_TC,R1,5.727719807169308,0.9167333446103462
715,post_TC,R1,4.288165683205764,0.8465135535443545
721,post_TC,R1,4.032993674259092,0.7851591616088246
727,post_TC,R1,4.320147742977524,0.8820528466883846
733,post_TC,R1,6.162604730507595,0.8103913491086089
739,post_TC,R1,6.023704387297206,1.1890238910345134
745,post_TC,R1,2.757861017908225,0.953746009431447
751,post_TC,R1,3.505695154721754,0.9163264922817839
757,post_TC,R1,3.099444819091376,0.9182041500193332
763,post_TC,R1,4.4100746696438815,0.7759395924820122
769,post_TC,R1,3.3933550058055832,1.072540076100201
775,post_TC,R1,4.26397784422282,1.0577119798833396
781,post_TC,R1,6.659962526098581,0.8163107754705538
787,post_TC,R1,3.475064241742237,1.146166315890235
793,post_TC,R1,4.14716056157,1.1543476635602141
799,post_TC,R1,3.3134881018754627,1.0537861356841929
805,post_TC,R1,3.579697970207105,0.9893189525964838
811,post_TC,R1,3.3671023441866184,0.874967744451088
817,post_TC,R1,4.350072138461567,0.8311163836171614
823,post_TC,R1,3.979161973062861,1.178734978827624
829,post_TC,R1,5.853916687257956,0.8187200599054808
835,post_TC,R1,5.379314878407254,0.9827927534208686
841,post_TC,R1,3.27973393243639,0.9016316382264575
847,post_TC,R1,3.75651081356368,1.0856678227714196
853,post_TC,R1,3.024988723889765,1.1450744922224392
859,post_TC,R1,3.83081367524489,1.0748331363512416
865,post_TC,R1,2.9677534684673765,1.076351980688978
871,post_TC,R1,4.208522744546558,1.130224170798817
877,post_TC,R1,3.6567114075571423,0.9090772108446541
883,post_TC,R1,3.956385884751879,0.9635451947473775
889,post_TC,R1,3.891244606465397,0.9567632925335181
895,post_TC,R1,2.6170983578657645,1.1061294669728037
901,post_TC,R1,3.6862543425069623,1.0735046354422573
907,post_TC,R1,4.562099313272662,1.1170219749792094
913,post_TC,R1,3.031497530563826,0.9603921834978445
919,post_TC,R1,4.225549894084335,1.066226110846383
925,post_TC,R1,3.3670353584935158,1.17733405238806
931,post_TC,R1,6.3930721051378,0.8083939097613255
937,post_TC,R1,3.885381143571486,0.9029349074198191
943,post_TC,R1,4.300347569172613,0.9517628803491989
949,post_TC,R1,4.222290637912442,1.0325383040381322
955,post_TC,R1,4.365668583772069,1.0001854333451818
961,post_TC,R1,3.727000587795669,1.201760055614548
967,post_TC,R1,3.041621497422679,0.8863053046370736
973,post_TC,R1,3.915458461355172,0.7917725962053671
979,post_TC,R1,3.7444684670483337,1.091015756352209
985,post_TC,R1,5.840760171986923,1.0510254725548547
991,post_TC,R1,3.0862438076172154,0.7997997064469465
997,post_TC,R1,2.804516702612747,1.2179669768143055
1003,post_TC,R1,3.865848853341759,1.0521259701125592
1009,post_TC,R1,3.733401832083015,0.7993342655520008
1015,post_TC,R1,4.140059684919888,0.9179850556847852
1021,post_TC,R1,3.826003837295419,1.1740610087773837
1027,post_TC,R1,5.933779183193619,0.8083809595701212
1033,post_TC,R1,4.863780759582068,1.2220504184128307
