session_id,feature_set,status,accuracy,macro_f1,f1_wake,f1_nrem,f1_rem,wake_count,nrem_count,rem_count
session_m1020_1080,theta,ok,0.3974358974358974,0.3828908203963406,0.4739884393063583,0.2419354838709677,0.4327485380116959,1047,675,78
session_m1020_1080,alpha,ok,0.4188034188034188,0.3875709759196101,0.4855491329479768,0.4919786096256685,0.1851851851851851,1047,675,78
session_m1020_1080,sigma,ok,0.376068376068376,0.3313363224077509,0.4693877551020408,0.4204545454545454,0.1041666666666666,1047,675,78
session_m1020_1080,beta,ok,0.6153846153846154,0.6094674556213019,0.6745562130177515,0.6923076923076923,0.4615384615384615,1047,675,78
session_m1020_1080,low_gamma,ok,0.6837606837606838,0.678396194554364,0.6785714285714286,0.8176100628930818,0.5390070921985816,1047,675,78
session_m1020_1080,all_torus_15,ok,0.7264957264957265,0.7219101932659351,0.6993865030674846,0.8466257668711656,0.6197183098591549,1047,675,78
session_m1080_1140,delta,ok,0.4406392694063927,0.413819855599531,0.2100456621004566,0.5459770114942529,0.4854368932038835,548,1106,146
session_m1080_1140,theta,ok,0.3881278538812785,0.3469214163206653,0.4620060790273556,0.4611111111111111,0.1176470588235294,548,1106,146
session_m1080_1140,alpha,ok,0.3835616438356164,0.3323362571917485,0.4545454545454545,0.4615384615384615,0.0809248554913294,548,1106,146
session_m1080_1140,sigma,ok,0.3972602739726027,0.3505177032640477,0.1286549707602339,0.4797843665768194,0.4431137724550898,548,1106,146
session_m1080_1140,beta,ok,0.4703196347031963,0.461015014531475,0.3094339622641509,0.670926517571885,0.4026845637583892,548,1106,146
session_m1080_1140,low_gamma,ok,0.5525114155251142,0.5392904503182073,0.3178294573643411,0.7935483870967742,0.5064935064935064,548,1106,146
session_m1080_1140,all_torus_15,ok,0.5821917808219178,0.5687984936977183,0.4059040590405904,0.8286604361370716,0.4718309859154929,548,1106,146
session_m1140_1200,delta,ok,0.5757575757575758,0.5811204574193193,0.425531914893617,0.6511627906976745,0.6666666666666666,998,780,22
session_m1140_1200,theta,ok,0.4090909090909091,0.3850769293224536,0.4347826086956521,0.1714285714285714,0.5490196078431373,998,780,22
session_m1140_1200,alpha,ok,0.4242424242424242,0.4062308849542892,0.5531914893617021,0.4230769230769231,0.2424242424242424,998,780,22
session_m1140_1200,sigma,ok,0.3636363636363636,0.3525094243179349,0.3829787234042553,0.4583333333333333,0.2162162162162162,998,780,22
session_m1140_1200,beta,ok,0.5606060606060606,0.552065527065527,0.5416666666666666,0.7555555555555555,0.358974358974359,998,780,22
session_m1140_1200,low_gamma,ok,0.6363636363636364,0.6355101401613029,0.5777777777777777,0.8636363636363636,0.4651162790697674,998,780,22
session_m1140_1200,all_torus_15,ok,0.5757575757575758,0.5779552790933296,0.4285714285714285,0.8372093023255814,0.4680851063829787,998,780,22
session_m1200_1260,delta,ok,0.5324675324675324,0.506598378040889,0.2644628099173554,0.6390532544378699,0.6162790697674418,712,1011,77
session_m1200_1260,theta,ok,0.4545454545454545,0.4409913031303265,0.5365853658536586,0.2834645669291338,0.5029239766081871,712,1011,77
session_m1200_1260,alpha,ok,0.3982683982683982,0.3563897034864777,0.4545454545454545,0.4946236559139785,0.12,712,1011,77
session_m1200_1260,sigma,ok,0.2857142857142857,0.285448074999336,0.3378378378378378,0.2790697674418604,0.2394366197183098,712,1011,77
session_m1200_1260,beta,ok,0.5541125541125541,0.5439800186572779,0.5964912280701754,0.6415094339622641,0.3939393939393939,712,1011,77
session_m1200_1260,low_gamma,ok,0.6363636363636364,0.641451321206924,0.573170731707317,0.8413793103448276,0.5098039215686274,712,1011,77
