feature,stage,x,density
R1,0,4.767753371115972,0.22428191804319017
R1,0,4.78620824000863,0.2209563043757463
R1,0,4.8046631089012894,0.21776083910585692
R1,0,4.823117977793949,0.21469172491386762
R1,0,4.841572846686607,0.21174451718439238
R1,0,4.860027715579267,0.2089142075028332
R1,0,4.878482584471926,0.20619530808098663
R1,0,4.896937453364584,0.2035819351917188
R1,0,4.915392322257244,0.2010678898855638
R1,0,4.933847191149903,0.19864673449780712
R1,0,4.952302060042562,0.19631186372279352
R1,0,4.970756928935221,0.1940565693218474
R1,0,4.989211797827879,0.1918740978309767
R1,0,5.007666666720539,0.1897577009333139
R1,0,5.026121535613198,0.18770067844835783
R1,0,5.0445764045058565,0.18569641415581986
R1,0,5.063031273398516,0.18373840490773657
R1,0,5.081486142291175,0.18182028368146647
R1,0,5.099941011183834,0.17993583738293858
R1,0,5.118395880076493,0.1780790203206067
R1,0,5.136850748969152,0.17624396433435466
R1,0,5.155305617861811,0.17442498658044364
R1,0,5.17376048675447,0.17261659594555587
R1,0,5.1922153556471295,0.17081349899383974
R1,0,5.210670224539788,0.16901060624576686
R1,0,5.229125093432447,0.16720303945298964
R1,0,5.247579962325106,0.1653861403764411
R1,0,5.266034831217765,0.16355548140354648
R1,0,5.2844897001104245,0.16170687816264162
R1,0,5.302944569003083,0.1598364041164892
R1,0,5.321399437895742,0.15794040694972902
R1,0,5.339854306788402,0.15601552641400188
R1,0,5.35830917568106,0.15405871316524924
R1,0,5.3767640445737195,0.1520672480250216
R1,0,5.395218913466379,0.15003876102492567
R1,0,5.413673782359037,0.1479712495525609
R1,0,5.432128651251697,0.1458630949090249
R1,0,5.450583520144355,0.14371307661137525
R1,0,5.4690383890370144,0.14152038382616947
R1,0,5.487493257929674,0.1392846233989734
R1,0,5.505948126822332,0.1370058240451488
R1,0,5.524402995714992,0.1346844363842031
R1,0,5.542857864607651,0.13232132862782048
R1,0,5.561312733500309,0.1299177778645194
R1,0,5.579767602392969,0.12747545701580026
R1,0,5.598222471285628,0.12499641766404626
R1,0,5.616677340178287,0.12248306906623277
R1,0,5.635132209070946,0.11993815376530247
R1,0,5.653587077963605,0.11736472028937762
R1,0,5.672041946856264,0.11476609348534976
R1,0,5.690496815748923,0.11214584306640457
R1,0,5.7089516846415815,0.10950775096243034
R1,0,5.727406553534241,0.1068557780488264
R1,0,5.7458614224269,0.10419403079478173
R1,0,5.764316291319559,0.10152672831931861
R1,0,5.782771160212218,0.09885817027573991
R1,0,5.801226029104877,0.0961927059065235
R1,0,5.819680897997536,0.09353470452552079
R1,0,5.838135766890195,0.09088852759696964
R1,0,5.8565906357828545,0.08825850249569231
R1,0,5.875045504675513,0.08564889795400993
R1,0,5.893500373568172,0.0830639011319745
R1,0,5.911955242460831,0.0805075961915151
R1,0,5.93041011135349,0.0779839442142454
R1,0,5.9488649802461495,0.07549676427845645
R1,0,5.967319849138808,0.0730497155037496
R1,0,5.985774718031467,0.07064627988157551
R1,0,6.004229586924127,0.06828974573547889
R1,0,6.022684455816785,0.06598319169423117
R1,0,6.0411393247094445,0.0637294711117167
R1,0,6.059594193602104,0.061531196926391106
R1,0,6.078049062494762,0.059390727016927186
R1,0,6.096503931387422,0.057310150175731746
R1,0,6.114958800280081,0.05529127288473208
R1,0,6.1334136691727394,0.05333560713472238
R1,0,6.151868538065399,0.05144435957746713
R1,0,6.170323406958057,0.049618422335955564
R1,0,6.188778275850717,0.04785836582049042
R1,0,6.207233144743376,0.04616443390516552
R1,0,6.225688013636034,0.044536541809863155
R1,0,6.244142882528694,0.04297427700706379
R1,0,6.262597751421353,0.04147690343108495
R1,0,6.281052620314012,0.04004336921108173
R1,0,6.299507489206671,0.03867231808010206
R1,0,6.31796235809933,0.0373621045330575
R1,0,6.336417226991989,0.03611081271938834
R1,0,6.354872095884648,0.03491627896454932
R1,0,6.373326964777307,0.03377611772139243
R1,0,6.391781833669966,0.032687750661331255
R1,0,6.410236702562625,0.03164843852896175
