original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,mse,mean_error,frac_inside
382,81,3,post_SC,4.001887502975208,1.4326715600021995,1.162020574352984,-0.4393256608982721,0.7851712328988698,-0.4364620243553443,0.5558365825532728,0.6192778610502134,0.5545634538162167,0.7057185396259581,0.0010323958258798,-0.708491550399201,0.0120362763255853,0.0118444744802612,0.8537414965986394
382,82,4,pre_GO,3.006413741942147,0.9968443568511696,0.6876084836142744,-0.4257817456085348,0.7942687386895833,-0.4334132852682385,0.5634917008287352,0.6075382137406912,0.5597985547872639,0.707945625174482,-0.0058727834311133,-0.7062425236496901,0.0071450275491106,0.0106404577542183,0.8027210884353742
382,83,5,post_GO,4.7576080242377286,1.2077452956181836,1.302722331164477,-0.419046635380768,0.7989027473268505,-0.4314560437514674,0.5636516563916083,0.6014310043685571,0.5661956881072345,0.7118263324878155,-0.0059285156522495,-0.7023304956209057,0.0093162554460384,0.0095953097598132,0.8843537414965986
80,84,0,pre_TC,5.333667234080334,1.49237725482966,1.3269098649115796,-0.4271399373878417,0.7976783491091615,-0.4257472551300751,0.5624007793532086,0.6030791574939808,0.5656862144150713,0.7079949415576459,0.0021865861137751,-0.7062141187840646,0.0097321107669612,0.0090280635735141,0.8945578231292517
80,85,1,post_TC,5.897886718732687,1.8817515294496472,1.6142983462451626,-0.4408800439388965,0.7995200337893043,-0.407912371013661,0.5638970242551271,0.6003056083827037,0.5671448867621788,0.6983157830757153,0.020022290423973,-0.7155097308866798,0.0116880273430383,0.0100420700805729,0.9285714285714286
80,86,2,pre_SC,3.35039495732058,1.1459572760489427,0.8033328679262561,-0.4333745245870561,0.7896107515092239,-0.434397723912064,0.5584857209206261,0.6136076706042647,0.558192911190546,0.7073048995777647,-0.0006983384902404,-0.7069082623344004,0.0073184625710941,0.0154285159500576,0.8163265306122449
80,87,3,post_SC,3.810248867156144,1.1706174396276463,1.0240389121788591,-0.430500550251828,0.7964166711945668,-0.4247231593358651,0.562592158790017,0.6047367359689246,0.5637229310908324,0.7058040373225856,0.0037371129252959,-0.708397271935827,0.0066688345746451,0.0137634694918677,0.8741496598639455
80,88,4,pre_GO,5.471589825952679,1.5819388173579347,1.5255391272933367,-0.4316131044428802,0.7978347929056304,-0.4209153968464556,0.5622022276551035,0.602826721793325,0.5661524518286151,0.7054351729909834,0.0077192435602874,-0.7087324107066351,0.0164246594202668,0.0093833517106268,0.8843537414965986
80,89,5,post_GO,2.74847138733969,0.6990898687725379,0.6846893734652972,-0.4174823799445805,0.8084422808549656,-0.4148849731694675,0.5721906227200704,0.5885745480542894,0.5711198583956848,0.7059081765407077,0.001039186561605,-0.7083025952121474,0.0033004323695949,0.0131274765733754,0.8061224489795918
366,90,0,pre_TC,4.698078698379705,1.8128195750614904,1.4562331875199617,-0.4371172009334151,0.7882402081618477,-0.4331349984532576,0.5563998011966277,0.6153600318964121,0.5583469283275407,0.706645465475078,0.0030668194296105,-0.7075611498252972,0.011674573236261,0.0086608661211715,0.9183673469387756
366,91,1,post_TC,7.23324465952004,1.8541837844570144,1.981099807240608,-0.4228273940349153,0.7979804855592569,-0.4294696025567524,0.56727376720853,0.6026502476629264,0.5612603246523452,0.70669474873575,-0.0063105988959773,-0.7074904299359032,0.0091095987021123,0.0065031958639594,0.9183673469387756
