feature,stage,stage_name,n,mean,sd,q25,median,q75,minimum,maximum,bandwidth
mse,2,pre_SC,196,0.007978318025653876,0.002428818097545502,0.006152731141378775,0.00750767867247135,0.009329427185453425,0.0035160489074839,0.0174786670787507,0.0009391952026995708
mse,3,post_SC,198,0.008909549473669637,0.002625194184110605,0.0070867485095349745,0.008455137414523799,0.010256570320997926,0.0038890103602776,0.0180541184370682,0.0009391952026995708
mse,4,pre_GO,196,0.008412514942293505,0.002901791231557,0.006430034848402825,0.008127843272764699,0.009636113767523151,0.0040697563706783,0.0238087355118285,0.0009391952026995708
mse,5,post_GO,195,0.00900239701112137,0.0029717874320709338,0.007165439174995051,0.0084823496011972,0.0103804855600508,0.0033004323695949,0.028874200283438,0.0009391952026995708
mean_error,0,pre_TC,197,0.011201949970079469,0.0023217059679454042,0.0096748813450514,0.011046859565459,0.0124483746194795,0.0060320065504988,0.019615414515977,0.0009526676747576465
mean_error,1,post_TC,195,0.011348552639011503,0.0024823931832623153,0.00970777825399155,0.0109795593401815,0.0129651084464883,0.0062885206006157,0.01991364923119,0.0009526676747576465
mean_error,2,pre_SC,196,0.011028349779852018,0.0026131214274520854,0.009184865823715126,0.010897303268406901,0.012467057358390949,0.0048888431485743,0.0240828269718692,0.0009526676747576465
mean_error,3,post_SC,198,0.01182509804529317,0.0029416844332778355,0.01009995965579815,0.01146113121435035,0.013246788443801925,0.0060104013917794,0.02480014243213,0.0009526676747576465
mean_error,4,pre_GO,196,0.011450428669523147,0.0024843198538432774,0.009876296563239274,0.010984210737042449,0.012734271609094475,0.0070875403355033,0.0241807930100623,0.0009526676747576465
mean_error,5,post_GO,195,0.013007936658930313,0.0030622546082986735,0.01107683203406885,0.0124608011002357,0.0143941100662337,0.0080115741205188,0.0282213741169466,0.0009526676747576465
frac_inside,0,pre_TC,197,0.8711972098484063,0.029104435975046302,0.8503401360544217,0.8707482993197279,0.891156462585034,0.7721088435374149,0.9387755102040816,0.011504977857980558
frac_inside,1,post_TC,195,0.8719344147915576,0.031592308692602995,0.8537414965986394,0.8741496598639455,0.8945578231292517,0.7551020408163265,0.95578231292517,0.011504977857980558
frac_inside,2,pre_SC,196,0.869828543662363,0.033424754905106734,0.8494897959183674,0.8741496598639455,0.8945578231292517,0.7755102040816326,0.935374149659864,0.011504977857980558
frac_inside,3,post_SC,198,0.8660585446299732,0.03271152454443579,0.8469387755102041,0.8707482993197279,0.8877551020408163,0.7789115646258503,0.9319727891156464,0.011504977857980558
frac_inside,4,pre_GO,196,0.8682146327918923,0.03108177707274018,0.8469387755102041,0.8724489795918366,0.8877551020408163,0.7755102040816326,0.9421768707482994,0.011504977857980558
frac_inside,5,post_GO,195,0.8541775684632826,0.03709626108512777,0.8350340136054422,0.8605442176870748,0.879251700680272,0.6802721088435374,0.935374149659864,0.011504977857980558
