fold,held_out,permuted_group,rep,base_r2,permuted_r2,r2_drop
1,ekez003_250906,spectrum,4,0.359210155056662,-0.41999952288152387,0.7792096779381859
1,ekez003_250906,spectrum,5,0.359210155056662,-0.5037791525344129,0.8629893075910748
1,ekez003_250906,spectrum,6,0.359210155056662,-0.5961964492384155,0.9554066042950775
1,ekez003_250906,spectrum,7,0.359210155056662,-0.4674581640419444,0.8266683190986064
1,ekez003_250906,spectrum,8,0.359210155056662,-0.502270229667966,0.861480384724628
1,ekez003_250906,spectrum,9,0.359210155056662,-0.4817808087115696,0.8409909637682316
1,ekez003_250906,spectrum,10,0.359210155056662,-0.43643091753686214,0.7956410725935241
1,ekez003_250906,spectrum,11,0.359210155056662,-0.5275564037947127,0.8867665588513747
1,ekez003_250906,spectrum,12,0.359210155056662,-0.3521151440967025,0.7113252991533645
1,ekez003_250906,spectrum,13,0.359210155056662,-0.5345587145152437,0.8937688695719057
1,ekez003_250906,spectrum,14,0.359210155056662,-0.6249598729206949,0.9841700279773569
1,ekez003_250906,spectrum,15,0.359210155056662,-0.4343769906988939,0.7935871457555559
1,ekez003_250906,spectrum,16,0.359210155056662,-0.48246896452139243,0.8416791195780544
1,ekez003_250906,spectrum,17,0.359210155056662,-0.3801278997590807,0.7393380548157427
1,ekez003_250906,spectrum,18,0.359210155056662,-0.4350470841745091,0.7942572392311711
1,ekez003_250906,spectrum,19,0.359210155056662,-0.5842077179732528,0.9434178730299148
1,ekez003_250906,spectrum,20,0.359210155056662,-0.5637750375739494,0.9229851926306114
1,ekez003_250906,spectrum,21,0.359210155056662,-0.3381260981652825,0.6973362532219445
1,ekez003_250906,spectrum,22,0.359210155056662,-0.6819957060267778,1.0412058610834398
1,ekez003_250906,spectrum,23,0.359210155056662,-0.3435418049958088,0.7027519600524708
1,ekez003_250906,spectrum,24,0.359210155056662,-0.6098574126950809,0.9690675677517429
1,ekez003_250906,spectrum,25,0.359210155056662,-0.5145601919281371,0.873770346984799
1,ekez003_250906,spectrum,26,0.359210155056662,-0.39594391894627967,0.7551540740029417
1,ekez003_250906,spectrum,27,0.359210155056662,-0.5083631137156643,0.8675732687723263
1,ekez003_250906,spectrum,28,0.359210155056662,-0.5650399362851632,0.9242500913418252
1,ekez003_250906,spectrum,29,0.359210155056662,-0.3733464198230809,0.7325565748797429
1,ekez003_250906,spectrum,30,0.359210155056662,-0.28645253743555354,0.6456626924922155
1,ekez003_250906,spectrum,31,0.359210155056662,-0.3325165729441233,0.6917267280007853
1,ekez003_250906,spectrum,32,0.359210155056662,-0.6314460071118206,0.9906561621684826
1,ekez003_250906,spectrum,33,0.359210155056662,-0.35491436798865394,0.7141245230453159
1,ekez003_250906,spectrum,34,0.359210155056662,-0.4808351418119374,0.8400452968685994
1,ekez003_250906,spectrum,35,0.359210155056662,-0.37324156967932387,0.7324517247359859
1,ekez003_250906,spectrum,36,0.359210155056662,-0.5243398079766748,0.8835499630333368
1,ekez003_250906,spectrum,37,0.359210155056662,-0.5293047236486648,0.8885148787053267
1,ekez003_250906,spectrum,38,0.359210155056662,-0.45260806534591924,0.8118182204025812
1,ekez003_250906,spectrum,39,0.359210155056662,-0.4306832502036517,0.7898934052603137
1,ekez003_250906,spectrum,40,0.359210155056662,-0.5903736821894976,0.9495838372461596
1,ekez003_250906,spectrum,41,0.359210155056662,-0.4908849922152414,0.8500951472719034
1,ekez003_250906,spectrum,42,0.359210155056662,-0.4227207371638426,0.7819308922205046
