split,fold,held_out,n_train,n_test,accuracy,macro_f1,f1_mobile,f1_immobile,f1_sleep,confusion,feature_set
leave_mouse_out,1,ekez004,192,504,0.4583333333333333,0.4588574974656321,0.65,0.1986754966887417,0.5278969957081545,"[[0.48148148148148145, 0.3271604938271605, 0.19135802469135801], [0.0, 0.18518518518518517, 0.8148148148148148], [0.0, 0.31666666666666665, 0.6833333333333333]]",native_spectrum
leave_mouse_out,0,ekez003,486,296,0.652027027027027,0.5687173541329961,0.7757009345794392,0.17857142857142858,0.7518796992481203,"[[0.9431818181818182, 0.011363636363636364, 0.045454545454545456], [0.5625, 0.15625, 0.28125], [0.04861111111111111, 0.2569444444444444, 0.6944444444444444]]",highrate_dynamics
leave_mouse_out,1,ekez004,192,504,0.46825396825396826,0.4876071001071001,0.7622377622377622,0.2897727272727273,0.41081081081081083,"[[0.6728395061728395, 0.2654320987654321, 0.06172839506172839], [0.043209876543209874, 0.3148148148148148, 0.6419753086419753], [0.044444444444444446, 0.5333333333333333, 0.4222222222222222]]",highrate_dynamics
leave_mouse_out,0,ekez003,486,296,0.6554054054054054,0.5757083309322115,0.7860696517412935,0.1981981981981982,0.7428571428571429,"[[0.8977272727272727, 0.045454545454545456, 0.056818181818181816], [0.40625, 0.171875, 0.421875], [0.05555555555555555, 0.2222222222222222, 0.7222222222222222]]",torus_shape
leave_mouse_out,1,ekez004,192,504,0.501984126984127,0.516281236670638,0.6870229007633588,0.3468208092485549,0.515,"[[0.5555555555555556, 0.3333333333333333, 0.1111111111111111], [0.018518518518518517, 0.37037037037037035, 0.6111111111111112], [0.03888888888888889, 0.3888888888888889, 0.5722222222222222]]",torus_shape
leave_mouse_out,0,ekez003,486,296,0.7094594594594594,0.6257421192905064,0.8076923076923077,0.26666666666666666,0.8028673835125448,"[[0.9545454545454546, 0.0, 0.045454545454545456], [0.484375, 0.21875, 0.296875], [0.034722222222222224, 0.1875, 0.7777777777777778]]",spectrum_plus_torus
leave_mouse_out,1,ekez004,192,504,0.4781746031746032,0.4809347004429154,0.6271186440677966,0.273015873015873,0.5426695842450766,"[[0.4567901234567901, 0.3333333333333333, 0.20987654320987653], [0.0, 0.2654320987654321, 0.7345679012345679], [0.0, 0.3111111111111111, 0.6888888888888889]]",spectrum_plus_torus
leave_mouse_out,0,ekez003,486,296,0.6858108108108109,0.6092592592592593,0.8,0.25,0.7777777777777778,"[[0.9545454545454546, 0.011363636363636364, 0.03409090909090909], [0.5, 0.21875, 0.28125], [0.041666666666666664, 0.22916666666666666, 0.7291666666666666]]",all_features
leave_mouse_out,1,ekez004,192,504,0.5198412698412699,0.5241371020860182,0.6443514644351465,0.3475609756097561,0.5804988662131519,"[[0.47530864197530864, 0.35185185185185186, 0.1728395061728395], [0.0, 0.35185185185185186, 0.6481481481481481], [0.0, 0.28888888888888886, 0.7111111111111111]]",all_features
blocked_stratified_cv,0,all,540,160,0.7375,0.7384682900146817,0.8131868131868132,0.6597938144329897,0.7424242424242424,"[[0.74, 0.1, 0.16], [0.06521739130434782, 0.6956521739130435, 0.2391304347826087], [0.015625, 0.21875, 0.765625]]",native_spectrum
