feature,stage,stage_name,bin_index,bin_lower,bin_upper,count,stage_n,fraction
R1,1,post_TC,5,2.1750000000000003,2.6100000000000003,2,195,0.010256410256410256
R1,1,post_TC,6,2.6100000000000003,3.0450000000000004,20,195,0.10256410256410256
R1,1,post_TC,7,3.0450000000000004,3.4800000000000004,33,195,0.16923076923076924
R1,1,post_TC,8,3.4800000000000004,3.9150000000000005,48,195,0.24615384615384617
R1,1,post_TC,9,3.9150000000000005,4.3500000000000005,32,195,0.1641025641025641
R1,1,post_TC,10,4.3500000000000005,4.785,18,195,0.09230769230769231
R1,1,post_TC,11,4.785,5.220000000000001,15,195,0.07692307692307693
R1,1,post_TC,12,5.220000000000001,5.655000000000001,8,195,0.041025641025641026
R1,1,post_TC,13,5.655000000000001,6.090000000000001,10,195,0.05128205128205128
R1,1,post_TC,14,6.090000000000001,6.525,3,195,0.015384615384615385
R1,1,post_TC,15,6.525,6.960000000000001,2,195,0.010256410256410256
R1,1,post_TC,16,6.960000000000001,7.395000000000001,2,195,0.010256410256410256
R1,1,post_TC,17,7.395000000000001,7.830000000000001,1,195,0.005128205128205128
R1,1,post_TC,18,7.830000000000001,8.265,1,195,0.005128205128205128
R1,1,post_TC,19,8.265,8.700000000000001,0,195,0.0
R1,2,pre_SC,0,0.0,0.43500000000000005,0,196,0.0
R1,2,pre_SC,1,0.43500000000000005,0.8700000000000001,0,196,0.0
R1,2,pre_SC,2,0.8700000000000001,1.3050000000000002,0,196,0.0
R1,2,pre_SC,3,1.3050000000000002,1.7400000000000002,0,196,0.0
R1,2,pre_SC,4,1.7400000000000002,2.1750000000000003,0,196,0.0
R1,2,pre_SC,5,2.1750000000000003,2.6100000000000003,4,196,0.02040816326530612
R1,2,pre_SC,6,2.6100000000000003,3.0450000000000004,17,196,0.08673469387755102
R1,2,pre_SC,7,3.0450000000000004,3.4800000000000004,31,196,0.15816326530612246
R1,2,pre_SC,8,3.4800000000000004,3.9150000000000005,41,196,0.20918367346938777
R1,2,pre_SC,9,3.9150000000000005,4.3500000000000005,30,196,0.15306122448979592
R1,2,pre_SC,10,4.3500000000000005,4.785,27,196,0.1377551020408163
R1,2,pre_SC,11,4.785,5.220000000000001,19,196,0.09693877551020408
R1,2,pre_SC,12,5.220000000000001,5.655000000000001,14,196,0.07142857142857142
R1,2,pre_SC,13,5.655000000000001,6.090000000000001,4,196,0.02040816326530612
R1,2,pre_SC,14,6.090000000000001,6.525,5,196,0.025510204081632654
R1,2,pre_SC,15,6.525,6.960000000000001,3,196,0.015306122448979591
R1,2,pre_SC,16,6.960000000000001,7.395000000000001,1,196,0.00510204081632653
R1,2,pre_SC,17,7.395000000000001,7.830000000000001,0,196,0.0
R1,2,pre_SC,18,7.830000000000001,8.265,0,196,0.0
R1,2,pre_SC,19,8.265,8.700000000000001,0,196,0.0
R1,3,post_SC,0,0.0,0.43500000000000005,0,198,0.0
R1,3,post_SC,1,0.43500000000000005,0.8700000000000001,0,198,0.0
R1,3,post_SC,2,0.8700000000000001,1.3050000000000002,0,198,0.0
R1,3,post_SC,3,1.3050000000000002,1.7400000000000002,0,198,0.0
R1,3,post_SC,4,1.7400000000000002,2.1750000000000003,0,198,0.0
R1,3,post_SC,5,2.1750000000000003,2.6100000000000003,2,198,0.010101010101010102
R1,3,post_SC,6,2.6100000000000003,3.0450000000000004,23,198,0.11616161616161616
R1,3,post_SC,7,3.0450000000000004,3.4800000000000004,43,198,0.21717171717171718
R1,3,post_SC,8,3.4800000000000004,3.9150000000000005,39,198,0.19696969696969696
R1,3,post_SC,9,3.9150000000000005,4.3500000000000005,28,198,0.1414141414141414
R1,3,post_SC,10,4.3500000000000005,4.785,20,198,0.10101010101010101
R1,3,post_SC,11,4.785,5.220000000000001,19,198,0.09595959595959595
R1,3,post_SC,12,5.220000000000001,5.655000000000001,10,198,0.050505050505050504
R1,3,post_SC,13,5.655000000000001,6.090000000000001,7,198,0.03535353535353535
R1,3,post_SC,14,6.090000000000001,6.525,2,198,0.010101010101010102
R1,3,post_SC,15,6.525,6.960000000000001,2,198,0.010101010101010102
R1,3,post_SC,16,6.960000000000001,7.395000000000001,2,198,0.010101010101010102
R1,3,post_SC,17,7.395000000000001,7.830000000000001,0,198,0.0
R1,3,post_SC,18,7.830000000000001,8.265,1,198,0.005050505050505051
R1,3,post_SC,19,8.265,8.700000000000001,0,198,0.0
R1,4,pre_GO,0,0.0,0.43500000000000005,0,196,0.0
R1,4,pre_GO,1,0.43500000000000005,0.8700000000000001,0,196,0.0
R1,4,pre_GO,2,0.8700000000000001,1.3050000000000002,0,196,0.0
R1,4,pre_GO,3,1.3050000000000002,1.7400000000000002,0,196,0.0
R1,4,pre_GO,4,1.7400000000000002,2.1750000000000003,0,196,0.0
R1,4,pre_GO,5,2.1750000000000003,2.6100000000000003,1,196,0.00510204081632653
R1,4,pre_GO,6,2.6100000000000003,3.0450000000000004,21,196,0.10714285714285714
R1,4,pre_GO,7,3.0450000000000004,3.4800000000000004,47,196,0.23979591836734693
R1,4,pre_GO,8,3.4800000000000004,3.9150000000000005,46,196,0.23469387755102042
R1,4,pre_GO,9,3.9150000000000005,4.3500000000000005,27,196,0.1377551020408163
R1,4,pre_GO,10,4.3500000000000005,4.785,20,196,0.10204081632653061
R1,4,pre_GO,11,4.785,5.220000000000001,14,196,0.07142857142857142
R1,4,pre_GO,12,5.220000000000001,5.655000000000001,12,196,0.061224489795918366
R1,4,pre_GO,13,5.655000000000001,6.090000000000001,3,196,0.015306122448979591
R1,4,pre_GO,14,6.090000000000001,6.525,3,196,0.015306122448979591
R1,4,pre_GO,15,6.525,6.960000000000001,0,196,0.0
R1,4,pre_GO,16,6.960000000000001,7.395000000000001,0,196,0.0
R1,4,pre_GO,17,7.395000000000001,7.830000000000001,1,196,0.00510204081632653
R1,4,pre_GO,18,7.830000000000001,8.265,0,196,0.0
R1,4,pre_GO,19,8.265,8.700000000000001,1,196,0.00510204081632653
R1,5,post_GO,0,0.0,0.43500000000000005,0,195,0.0
R1,5,post_GO,1,0.43500000000000005,0.8700000000000001,0,195,0.0
R1,5,post_GO,2,0.8700000000000001,1.3050000000000002,0,195,0.0
R1,5,post_GO,3,1.3050000000000002,1.7400000000000002,0,195,0.0
R1,5,post_GO,4,1.7400000000000002,2.1750000000000003,5,195,0.02564102564102564
R1,5,post_GO,5,2.1750000000000003,2.6100000000000003,13,195,0.06666666666666667
R1,5,post_GO,6,2.6100000000000003,3.0450000000000004,34,195,0.17435897435897435
R1,5,post_GO,7,3.0450000000000004,3.4800000000000004,41,195,0.21025641025641026
R1,5,post_GO,8,3.4800000000000004,3.9150000000000005,37,195,0.18974358974358974
R1,5,post_GO,9,3.9150000000000005,4.3500000000000005,28,195,0.14358974358974358
R1,5,post_GO,10,4.3500000000000005,4.785,14,195,0.07179487179487179
R1,5,post_GO,11,4.785,5.220000000000001,10,195,0.05128205128205128
R1,5,post_GO,12,5.220000000000001,5.655000000000001,4,195,0.020512820512820513
R1,5,post_GO,13,5.655000000000001,6.090000000000001,5,195,0.02564102564102564
R1,5,post_GO,14,6.090000000000001,6.525,1,195,0.005128205128205128
R1,5,post_GO,15,6.525,6.960000000000001,1,195,0.005128205128205128
R1,5,post_GO,16,6.960000000000001,7.395000000000001,1,195,0.005128205128205128
R1,5,post_GO,17,7.395000000000001,7.830000000000001,0,195,0.0
R1,5,post_GO,18,7.830000000000001,8.265,0,195,0.0
R1,5,post_GO,19,8.265,8.700000000000001,1,195,0.005128205128205128
R2,0,pre_TC,0,0.0,0.13,0,197,0.0
R2,0,pre_TC,1,0.13,0.26,0,197,0.0
R2,0,pre_TC,2,0.26,0.39,0,197,0.0
R2,0,pre_TC,3,0.39,0.52,0,197,0.0
R2,0,pre_TC,4,0.52,0.65,0,197,0.0
R2,0,pre_TC,5,0.65,0.78,0,197,0.0
R2,0,pre_TC,6,0.78,0.91,6,197,0.030456852791878174
R2,0,pre_TC,7,0.91,1.04,17,197,0.08629441624365482
R2,0,pre_TC,8,1.04,1.17,43,197,0.2182741116751269
R2,0,pre_TC,9,1.17,1.3,38,197,0.19289340101522842
R2,0,pre_TC,10,1.3,1.4300000000000002,35,197,0.17766497461928935
R2,0,pre_TC,11,1.4300000000000002,1.56,28,197,0.14213197969543148
R2,0,pre_TC,12,1.56,1.69,14,197,0.07106598984771574
R2,0,pre_TC,13,1.69,1.82,10,197,0.050761421319796954
R2,0,pre_TC,14,1.82,1.9500000000000002,3,197,0.015228426395939087
R2,0,pre_TC,15,1.9500000000000002,2.08,1,197,0.005076142131979695
R2,0,pre_TC,16,2.08,2.21,1,197,0.005076142131979695
R2,0,pre_TC,17,2.21,2.34,0,197,0.0
R2,0,pre_TC,18,2.34,2.47,0,197,0.0
R2,0,pre_TC,19,2.47,2.6,1,197,0.005076142131979695
R2,1,post_TC,0,0.0,0.13,0,195,0.0
R2,1,post_TC,1,0.13,0.26,0,195,0.0
R2,1,post_TC,2,0.26,0.39,0,195,0.0
R2,1,post_TC,3,0.39,0.52,0,195,0.0
R2,1,post_TC,4,0.52,0.65,0,195,0.0
R2,1,post_TC,5,0.65,0.78,1,195,0.005128205128205128
R2,1,post_TC,6,0.78,0.91,3,195,0.015384615384615385
R2,1,post_TC,7,0.91,1.04,18,195,0.09230769230769231
R2,1,post_TC,8,1.04,1.17,37,195,0.18974358974358974
R2,1,post_TC,9,1.17,1.3,45,195,0.23076923076923078
R2,1,post_TC,10,1.3,1.4300000000000002,35,195,0.1794871794871795
R2,1,post_TC,11,1.4300000000000002,1.56,22,195,0.11282051282051282
R2,1,post_TC,12,1.56,1.69,19,195,0.09743589743589744
R2,1,post_TC,13,1.69,1.82,6,195,0.03076923076923077
R2,1,post_TC,14,1.82,1.9500000000000002,4,195,0.020512820512820513
R2,1,post_TC,15,1.9500000000000002,2.08,4,195,0.020512820512820513
R2,1,post_TC,16,2.08,2.21,0,195,0.0
R2,1,post_TC,17,2.21,2.34,0,195,0.0
R2,1,post_TC,18,2.34,2.47,1,195,0.005128205128205128
R2,1,post_TC,19,2.47,2.6,0,195,0.0
R2,2,pre_SC,0,0.0,0.13,0,196,0.0
R2,2,pre_SC,1,0.13,0.26,0,196,0.0
R2,2,pre_SC,2,0.26,0.39,0,196,0.0
R2,2,pre_SC,3,0.39,0.52,0,196,0.0
R2,2,pre_SC,4,0.52,0.65,0,196,0.0
R2,2,pre_SC,5,0.65,0.78,2,196,0.01020408163265306
R2,2,pre_SC,6,0.78,0.91,5,196,0.025510204081632654
R2,2,pre_SC,7,0.91,1.04,24,196,0.12244897959183673
R2,2,pre_SC,8,1.04,1.17,38,196,0.19387755102040816
R2,2,pre_SC,9,1.17,1.3,49,196,0.25
R2,2,pre_SC,10,1.3,1.4300000000000002,21,196,0.10714285714285714
R2,2,pre_SC,11,1.4300000000000002,1.56,25,196,0.12755102040816327
R2,2,pre_SC,12,1.56,1.69,18,196,0.09183673469387756
