original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width
628,227,5,post_GO,2.693318350159663,1.1553933277058823,0.6733979015333311
647,228,0,pre_TC,3.219450064316398,1.360320897943041,0.8603461787713961
647,229,1,post_TC,2.53636427686882,1.097567158362529,0.6631247027461513
647,230,2,pre_SC,3.523366196116647,1.3432131676065004,1.047263914270768
647,231,3,post_SC,4.316306071292545,1.200071920904214,1.2019441584315316
647,232,4,pre_GO,3.627586308641114,1.1149544711243025,0.8732802678022549
647,233,5,post_GO,4.356203961898605,1.0646395846031942,1.0191379372133682
10,234,0,pre_TC,3.795650337525737,1.3130534795857314,1.0628202637510915
10,235,1,post_TC,3.863920850714688,1.4707688950671134,1.058808943398548
10,236,2,pre_SC,3.185912223407071,1.1789123110265818,0.8196466630386169
10,237,3,post_SC,4.5382334798873805,1.1474766209708978,1.1122719625483737
10,238,4,pre_GO,4.494630069792087,2.0874795297073625,1.4000266407751882
10,239,5,post_GO,1.9815011386477328,0.5742937757272719,0.4398670098630891
412,240,0,pre_TC,3.7206679181220825,1.4760946904116767,1.1024803723191192
412,241,1,post_TC,3.1547654360979003,1.0062871161187277,0.770622590929561
412,242,2,pre_SC,4.903880603120252,1.1024228268745897,1.101036189292453
412,243,3,post_SC,2.700651175566487,0.8799083407165056,0.6260020450184394
412,244,4,pre_GO,4.37058218350449,1.4324241296959024,1.2083824500959526
412,245,5,post_GO,4.737667892047088,1.1526573390486563,1.313567495902265
670,246,0,pre_TC,4.185052719716715,1.3099148960456133,1.2713420717051582
670,247,1,post_TC,3.559513826931461,1.465660051034401,1.0614602759917309
670,248,2,pre_SC,3.0940796603967797,1.117360298208648,0.802729864222843
670,249,3,post_SC,4.721278667549367,1.5748193844032587,1.4187951053633008
670,250,4,pre_GO,3.873646041136201,1.3781007938776508,1.068884213455619
670,251,5,post_GO,2.5353857367082275,0.9718938483599384,0.6794955771613898
150,252,0,pre_TC,5.653493372390258,1.2294665885177405,1.4671077998608884
150,253,1,post_TC,3.267589442541305,0.8524993760524414,0.7418361969419435
150,254,2,pre_SC,3.205101501861991,1.047489143551736,0.8677368357062283
150,255,3,post_SC,4.811871775370777,1.5274678572627038,1.3891981459934624
150,256,4,pre_GO,3.537860202548828,1.1306797381540774,0.9017885007003688
150,257,5,post_GO,2.832916127655095,1.1075545570720766,0.6945555672002299
521,258,0,pre_TC,3.532896999135932,1.4304402392230324,1.0474463101014653
521,259,1,post_TC,3.8120144946082952,1.462173419856045,1.1494762070704387
521,260,2,pre_SC,4.087179968342864,1.5515447451518294,1.1102622083428364
521,261,3,post_SC,4.377298947878708,1.4428506692538876,1.217273080553484
521,262,4,pre_GO,4.942983123974712,1.698037412416303,1.3829252135082568
521,263,5,post_GO,2.0662037130714186,0.6263968980015641,0.5177862470939937
131,264,0,pre_TC,2.0954574860732698,1.0946435207337006,0.5841119711933999
131,265,1,post_TC,3.433222864844613,1.4622439523839217,0.9888316190634792
131,266,2,pre_SC,3.513293076012206,1.1747829841317727,0.9176009021100752
131,267,3,post_SC,4.005100843136637,1.4705706352852987,1.192569550614747
131,268,4,pre_GO,3.636101028103352,1.4600045180169214,1.1304431204017455
131,269,5,post_GO,3.579955286705717,1.2665696028023112,1.0088378733180368
579,270,0,pre_TC,3.661711948009756,1.4509876292789243,1.105194809228122
