original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width
579,271,1,post_TC,3.0623276414295533,1.1770503940170116,0.8454303266966425
579,272,2,pre_SC,5.092816566216028,1.369047854055457,1.4065962217574706
579,273,3,post_SC,3.4805787231982555,1.1650969553984925,0.9890499639168242
579,274,4,pre_GO,2.502610500951413,1.0134911971404372,0.6702955837330775
579,275,5,post_GO,3.6571409622839335,0.731225240101686,0.9078532303330458
419,276,0,pre_TC,3.0265700816599272,1.2039167067002785,0.8195992966221971
419,277,1,post_TC,3.527268585113716,1.643554656268486,1.093823116348725
419,278,2,pre_SC,4.584791325802715,1.3337871205190226,1.265466254254925
419,279,3,post_SC,3.043588197282968,1.2112377548447963,0.8031239483345696
419,280,4,pre_GO,3.44283643409108,1.2342964346108096,0.913449797520321
419,281,5,post_GO,2.797887054273031,0.8715590711685283,0.6277257538036966
580,282,0,pre_TC,4.188662708931414,0.9554535822147612,1.0564650641587556
580,283,1,post_TC,3.5951785691631,1.7110363806565634,1.1557765950715797
580,284,2,pre_SC,3.646885286621149,1.467425412009756,1.0381600292608109
580,285,3,post_SC,3.381639715292054,1.2925402910099053,0.9469444391206192
580,286,4,pre_GO,3.3894887620363816,1.291756252554812,0.9533716126801538
580,287,5,post_GO,3.2029502513484727,0.8011070297823208,0.7456880240886467
428,288,0,pre_TC,6.523819101879692,1.7267867799564909,1.7434274516645374
428,289,1,post_TC,3.594285377213182,1.3240054285556873,0.9593610132115772
428,290,2,pre_SC,4.1950882090544654,1.257376142476325,1.094747269449481
428,291,3,post_SC,3.951123402826998,1.21386831392349,1.108417822837342
428,292,4,pre_GO,3.778757175347368,1.1785966175183702,1.0021736726443522
428,293,5,post_GO,4.987320108395491,1.4066945628304075,1.300613000832801
543,294,0,pre_TC,2.715913039371157,1.0848887170600805,0.7839975483423295
543,295,1,post_TC,3.870543595880728,1.1157243260690854,1.0099702677463058
543,296,2,pre_SC,3.1770728103565737,0.9858111575981932,0.8092279920746671
543,297,3,post_SC,3.5516345752843046,1.418165079402377,0.9407714087646892
543,298,4,pre_GO,4.175829664270113,1.22797343887457,1.0851143305493247
543,299,5,post_GO,5.125283942147074,1.6119904614887075,1.466369198617666
387,300,0,pre_TC,4.3360874538567415,1.4657944592697834,1.2652955380528688
387,301,1,post_TC,5.5578192109866285,1.7118303759779925,1.6223887231182743
